slot,canonical_ny,K1_reason,K2_gamma_reason,K2_accel_reason,K2_w1_reason,K3_OLS_reason,K3_w2_reason,K4_RV6_reason,K4_alpha_reason,K4_wt_reason
2023-01-05 23:00:00+00:00,2023-01-05 23:00:00,INVALID: insufficient history (<720 slots),,,INACTIVE: accel=-0.0186 <= 0.025,INVALID: non-finite lagged inputs,INACTIVE: OLS invalid or inputs non-finite,,VALID,ACTIVE
2023-01-06 00:00:00+00:00,2023-01-06 00:00:00,INVALID: insufficient history (<720 slots),STALE_ZERO,,INACTIVE: |gamma_bar|=0.0797 <= 0.1,INVALID: non-finite lagged inputs,INACTIVE: OLS invalid or inputs non-finite,,VALID,ACTIVE
2023-01-06 01:00:00+00:00,2023-01-06 01:00:00,INVALID: insufficient history (<720 slots),STALE_ZERO,,INACTIVE: accel=-0.1187 <= 0.025,INVALID: non-finite lagged inputs,INACTIVE: OLS invalid or inputs non-finite,,VALID,ACTIVE
2023-01-06 02:00:00+00:00,2023-01-06 02:00:00,DISABLED: Brent/DAX stale > 2h,STALE_ZERO,,INACTIVE: |gamma_bar|=0.0000 <= 0.1,INVALID: non-finite lagged inputs,INACTIVE: OLS invalid or inputs non-finite,,VALID,ACTIVE
2023-01-06 03:00:00+00:00,2023-01-06 03:00:00,INVALID: insufficient history (<720 slots),,,INACTIVE: accel=0.0052 <= 0.025,INVALID: non-finite lagged inputs,INACTIVE: OLS invalid or inputs non-finite,,VALID,ACTIVE
2023-01-06 04:00:00+00:00,2023-01-06 04:00:00,INVALID: insufficient history (<720 slots),,,INACTIVE: accel=-0.0093 <= 0.025,INVALID: non-finite lagged inputs,INACTIVE: OLS invalid or inputs non-finite,,VALID,ACTIVE
2023-01-06 05:00:00+00:00,2023-01-06 05:00:00,INVALID: insufficient history (<720 slots),,,INACTIVE: accel=-0.0831 <= 0.025,INVALID: non-finite lagged inputs,INACTIVE: OLS invalid or inputs non-finite,,VALID,ACTIVE
2023-01-06 06:00:00+00:00,2023-01-06 06:00:00,INVALID: insufficient history (<720 slots),,,INACTIVE: |gamma_bar|=0.0488 <= 0.1,INVALID: non-finite lagged inputs,INACTIVE: OLS invalid or inputs non-finite,,VALID,ACTIVE
2023-01-06 07:00:00+00:00,2023-01-06 07:00:00,INVALID: insufficient history (<720 slots),,,INACTIVE: accel=-0.0378 <= 0.025,INVALID: non-finite lagged inputs,INACTIVE: OLS invalid or inputs non-finite,,VALID,ACTIVE
2023-01-06 08:00:00+00:00,2023-01-06 08:00:00,INVALID: insufficient history (<720 slots),,,INACTIVE: accel=-0.1641 <= 0.025,INVALID: non-finite lagged inputs,INACTIVE: OLS invalid or inputs non-finite,,VALID,ACTIVE
2023-01-06 09:00:00+00:00,2023-01-06 09:00:00,INVALID: insufficient history (<720 slots),,,INACTIVE: accel=-0.0145 <= 0.025,INVALID: non-finite lagged inputs,INACTIVE: OLS invalid or inputs non-finite,,VALID,ACTIVE
2023-01-06 10:00:00+00:00,2023-01-06 10:00:00,INVALID: insufficient history (<720 slots),,,INACTIVE: |gamma_bar|=0.0015 <= 0.1,INVALID: non-finite lagged inputs,INACTIVE: OLS invalid or inputs non-finite,,VALID,ACTIVE
2023-01-06 11:00:00+00:00,2023-01-06 11:00:00,INVALID: insufficient history (<720 slots),,,INACTIVE: |gamma_bar|=0.0103 <= 0.1,INVALID: non-finite lagged inputs,INACTIVE: OLS invalid or inputs non-finite,,VALID,ACTIVE
2023-01-06 12:00:00+00:00,2023-01-06 12:00:00,INVALID: insufficient history (<720 slots),,,INACTIVE: |gamma_bar|=0.0795 <= 0.1,INVALID: non-finite lagged inputs,INACTIVE: OLS invalid or inputs non-finite,,VALID,ACTIVE
2023-01-06 13:00:00+00:00,2023-01-06 13:00:00,INVALID: insufficient history (<720 slots),,,ACTIVE,INVALID: non-finite lagged inputs,INACTIVE: OLS invalid or inputs non-finite,,VALID,ACTIVE
2023-01-06 14:00:00+00:00,2023-01-06 14:00:00,INVALID: insufficient history (<720 slots),,,INACTIVE: accel=0.0172 <= 0.025,INVALID: non-finite lagged inputs,INACTIVE: OLS invalid or inputs non-finite,,VALID,ACTIVE
2023-01-06 15:00:00+00:00,2023-01-06 15:00:00,INVALID: insufficient history (<720 slots),,,INACTIVE: |gamma_bar|=0.0043 <= 0.1,INVALID: non-finite lagged inputs,INACTIVE: OLS invalid or inputs non-finite,,VALID,ACTIVE
2023-01-06 16:00:00+00:00,2023-01-06 16:00:00,INVALID: insufficient history (<720 slots),,,ACTIVE,INVALID: non-finite lagged inputs,INACTIVE: OLS invalid or inputs non-finite,,VALID,ACTIVE
2023-01-06 17:00:00+00:00,2023-01-06 17:00:00,INVALID: insufficient history (<720 slots),,,INACTIVE: |gamma_bar|=0.0085 <= 0.1,INVALID: non-finite lagged inputs,INACTIVE: OLS invalid or inputs non-finite,,VALID,ACTIVE
2023-01-06 18:00:00+00:00,2023-01-06 18:00:00,INVALID: insufficient history (<720 slots),,,INACTIVE: accel=0.0189 <= 0.025,INVALID: non-finite lagged inputs,INACTIVE: OLS invalid or inputs non-finite,,VALID,ACTIVE
2023-01-06 19:00:00+00:00,2023-01-06 19:00:00,INVALID: insufficient history (<720 slots),,,INACTIVE: accel=0.0163 <= 0.025,INVALID: non-finite lagged inputs,INACTIVE: OLS invalid or inputs non-finite,,VALID,ACTIVE
2023-01-06 20:00:00+00:00,2023-01-06 20:00:00,INVALID: insufficient history (<720 slots),,,ACTIVE,INVALID: non-finite lagged inputs,INACTIVE: OLS invalid or inputs non-finite,,VALID,ACTIVE
2023-01-06 21:00:00+00:00,2023-01-06 21:00:00,INVALID: insufficient history (<720 slots),,,INACTIVE: accel=0.0093 <= 0.025,INVALID: non-finite lagged inputs,INACTIVE: OLS invalid or inputs non-finite,,VALID,ACTIVE
2023-01-06 22:00:00+00:00,2023-01-06 22:00:00,INVALID: insufficient history (<720 slots),,,INACTIVE: accel=-0.0016 <= 0.025,INVALID: non-finite lagged inputs,INACTIVE: OLS invalid or inputs non-finite,,VALID,ACTIVE
2023-01-06 23:00:00+00:00,2023-01-06 23:00:00,INVALID: insufficient history (<720 slots),,,INACTIVE: accel=-0.0171 <= 0.025,INVALID: non-finite lagged inputs,INACTIVE: OLS invalid or inputs non-finite,,VALID,ACTIVE
2023-01-07 00:00:00+00:00,2023-01-07 00:00:00,INVALID: insufficient history (<720 slots),STALE_ZERO,,INACTIVE: |gamma_bar|=0.0539 <= 0.1,INVALID: non-finite lagged inputs,INACTIVE: OLS invalid or inputs non-finite,,VALID,ACTIVE
2023-01-07 01:00:00+00:00,2023-01-07 01:00:00,INVALID: insufficient history (<720 slots),STALE_ZERO,,INACTIVE: |gamma_bar|=0.0833 <= 0.1,INVALID: non-finite lagged inputs,INACTIVE: OLS invalid or inputs non-finite,,VALID,ACTIVE
2023-01-07 02:00:00+00:00,2023-01-07 02:00:00,DISABLED: Brent/DAX stale > 2h,STALE_ZERO,,INACTIVE: |gamma_bar|=0.0000 <= 0.1,INVALID: non-finite lagged inputs,INACTIVE: OLS invalid or inputs non-finite,,VALID,ACTIVE
2023-01-07 03:00:00+00:00,2023-01-07 03:00:00,DISABLED: Brent/DAX stale > 2h,STALE_ZERO,,INACTIVE: |gamma_bar|=0.0000 <= 0.1,INVALID: non-finite lagged inputs,INACTIVE: OLS invalid or inputs non-finite,,VALID,ACTIVE
2023-01-07 04:00:00+00:00,2023-01-07 04:00:00,DISABLED: Brent/DAX stale > 2h,STALE_ZERO,,INACTIVE: |gamma_bar|=0.0000 <= 0.1,INVALID: non-finite lagged inputs,INACTIVE: OLS invalid or inputs non-finite,,VALID,ACTIVE
2023-01-07 05:00:00+00:00,2023-01-07 05:00:00,DISABLED: Brent/DAX stale > 2h,STALE_ZERO,,INACTIVE: |gamma_bar|=0.0000 <= 0.1,INVALID: non-finite lagged inputs,INACTIVE: OLS invalid or inputs non-finite,,VALID,ACTIVE
2023-01-07 06:00:00+00:00,2023-01-07 06:00:00,DISABLED: Brent/DAX stale > 2h,STALE_ZERO,,INACTIVE: |gamma_bar|=0.0000 <= 0.1,INVALID: non-finite lagged inputs,INACTIVE: OLS invalid or inputs non-finite,,VALID,ACTIVE
2023-01-07 07:00:00+00:00,2023-01-07 07:00:00,DISABLED: Brent/DAX stale > 2h,STALE_ZERO,,INACTIVE: |gamma_bar|=0.0000 <= 0.1,INVALID: non-finite lagged inputs,INACTIVE: OLS invalid or inputs non-finite,,VALID,ACTIVE
