chain,end,max_rb_move,disp_chg,brd_chg,moves_cancel
Solana,2023-01-20 23:59:59,,0.05329,0.004,False
Solana,2023-01-23 23:59:59,,0.029,0.02,False
Solana,2023-02-27 23:59:59,,-0.25898,-0.126,False
Solana,2023-03-20 23:59:59,,-0.07646,-0.102,False
Solana,2023-03-25 23:59:59,,-0.00702,-0.074,False
Solana,2023-03-29 23:59:59,,0.01778,0.032,False
Solana,2023-04-17 23:59:59,,-0.02924,-0.076,False
Solana,2023-05-03 23:59:59,,-0.00141,0.002,False
Solana,2023-06-02 23:59:59,,0.01757,0.034,False
Solana,2023-07-08 23:59:59,,-0.24676,0.106,False
Solana,2023-07-19 23:59:59,,,0.72,False
Solana,2023-08-04 23:59:59,,-0.0124,-0.072,False
Solana,2023-08-12 23:59:59,,-0.00534,-0.118,False
Solana,2023-08-17 23:59:59,,0.48323,-0.088,False
Solana,2023-08-28 23:59:59,,,-0.124,False
Solana,2023-09-02 23:59:59,,0.01612,-0.048,False
Solana,2023-09-11 23:59:59,,-0.00091,-0.048,False
Solana,2023-10-10 23:59:59,,-0.0659,-0.018,False
Solana,2023-10-29 23:59:59,,-0.04542,-0.01,False
Solana,2023-11-30 23:59:59,,0.03025,-0.066,False
Solana,2023-12-18 23:59:59,,0.03313,0.066,False
Solana,2024-02-13 23:59:59,,,-0.258,False
Solana,2024-02-28 23:59:59,,0.12508,0.062,False
Solana,2024-03-11 23:59:59,,-0.05683,-0.014,False
Solana,2024-03-17 23:59:59,,-0.09727,-0.084,False
Solana,2024-03-30 23:59:59,,-0.15513,-0.03,False
Solana,2024-04-06 23:59:59,,-0.06177,-0.158,False
Solana,2024-04-29 23:59:59,,-0.02408,-0.02,False
Solana,2024-05-14 23:59:59,,-2.5052,0.036,False
Solana,2024-05-28 23:59:59,,0.05404,0.206,False
Solana,2024-06-04 23:59:59,,-0.00391,0.052,False
Solana,2024-07-15 23:59:59,,0.03078,0.108,False
Solana,2024-07-19 23:59:59,,0.0266,0.2,False
Solana,2024-08-02 23:59:59,,-0.0315,-0.092,False
Solana,2024-08-18 23:59:59,,0.01153,-0.084,False
Solana,2024-08-22 23:59:59,,-0.01895,0.076,False
Solana,2024-09-18 23:59:59,,,0.474,False
Solana,2024-09-24 23:59:59,,-0.0172,-0.11,False
Solana,2024-10-04 23:59:59,,0.01041,-0.034,False
Solana,2024-10-25 23:59:59,,-0.00473,-0.104,False
Solana,2024-11-10 23:59:59,,0.02039,0.044,False
Solana,2024-11-30 23:59:59,,0.17091,0.206,False
Solana,2024-12-06 23:59:59,,0.13337,0.07,False
Solana,2024-12-12 23:59:59,,-0.32537,0.012,False
Solana,2025-01-10 23:59:59,,-0.15528,-0.048,False
Solana,2025-01-28 23:59:59,,0.1418,-0.114,False
Solana,2025-02-17 23:59:59,,-0.09486,-0.004,False
Solana,2025-03-09 23:59:59,,0.05588,-0.024,False
Solana,2025-03-23 23:59:59,,-0.05114,0.044,False
Solana,2025-04-22 23:59:59,,0.0031,0.094,False
Solana,2025-05-04 23:59:59,,0.02268,-0.008,False
Solana,2025-05-19 23:59:59,,0.03519,-0.006,False
Solana,2025-05-30 23:59:59,,0.01487,-0.364,False
Solana,2025-06-16 23:59:59,,-0.01426,0.076,False
Solana,2025-07-21 23:59:59,,0.07255,0.162,False
Solana,2025-07-30 23:59:59,,-0.06203,-0.01,False
Solana,2025-08-12 23:59:59,,-0.04373,-0.15,False
Solana,2025-08-20 23:59:59,,-0.0234,-0.162,False
Solana,2025-08-26 23:59:59,,-0.01393,-0.1,False
Solana,2025-09-06 23:59:59,,0.00591,-0.082,False
Solana,2025-09-21 23:59:59,,-0.15248,-0.466,False
Solana,2025-10-11 23:59:59,,-0.09214,-0.282,False
Solana,2025-10-31 23:59:59,,-0.08144,-0.042,False
Solana,2025-12-03 23:59:59,,-0.03084,0.032,False
Solana,2026-01-20 23:59:59,,0.05968,-0.358,False
Solana,2026-03-01 23:59:59,,-0.02092,0.042,False
Solana,2026-03-09 23:59:59,,-0.07844,-0.318,False
Solana,2026-04-22 23:59:59,,-3.76053,-0.034,False
Arbitrum,2021-09-04 23:59:59,,0.02024,0.002,False
Arbitrum,2021-09-17 23:59:59,,-0.08692,-0.058,False
Arbitrum,2021-09-20 23:59:59,,-0.13599,-0.214,False
Arbitrum,2021-10-05 23:59:59,,-0.02761,-0.004,False
Arbitrum,2021-10-31 23:59:59,,0.22929,0.348,False
Arbitrum,2021-11-12 23:59:59,,0.06478,-0.036,False
Arbitrum,2021-12-15 23:59:59,,-0.03324,0.03,False
Arbitrum,2022-01-27 23:59:59,,0.01224,-0.094,False
Arbitrum,2022-02-13 23:59:59,,,0.0,False
Arbitrum,2022-02-18 23:59:59,,,0.0,False
Arbitrum,2022-03-06 23:59:59,,-0.08385,-0.334,False
Arbitrum,2022-03-25 23:59:59,,0.11061,0.598,False
Arbitrum,2022-04-07 23:59:59,,0.06547,0.004,False
Arbitrum,2022-06-29 23:59:59,,0.02695,-0.072,False
Arbitrum,2022-07-26 23:59:59,,-0.14925,-0.356,False
Arbitrum,2022-08-01 23:59:59,,0.10751,0.212,False
Arbitrum,2022-08-10 23:59:59,,0.06815,0.046,False
Arbitrum,2022-08-20 23:59:59,,-0.01122,-0.186,False
Arbitrum,2022-09-08 23:59:59,,0.08894,0.008,False
Arbitrum,2022-10-05 23:59:59,,0.18518,0.072,False
Arbitrum,2022-10-09 23:59:59,,0.0055,-0.206,False
Arbitrum,2022-11-19 23:59:59,,0.08104,-0.29,False
Arbitrum,2022-12-19 23:59:59,,0.05414,0.082,False
Arbitrum,2023-02-03 23:59:59,,0.16674,-0.008,False
Arbitrum,2023-02-15 23:59:59,,-0.04586,-0.054,False
Arbitrum,2023-02-24 23:59:59,,0.06686,-0.108,False
Arbitrum,2023-03-07 23:59:59,,-0.04273,-0.15,False
Arbitrum,2023-03-30 23:59:59,,-0.01575,0.012,False
Arbitrum,2023-04-04 23:59:59,,0.00989,0.082,False
Arbitrum,2023-04-08 23:59:59,,0.0646,0.218,False
Arbitrum,2023-04-13 23:59:59,,-0.03123,-0.166,False
Arbitrum,2023-05-01 23:59:59,,-0.00797,-0.124,False
Arbitrum,2023-05-10 23:59:59,,-0.01391,-0.082,False
Arbitrum,2023-05-14 23:59:59,,-0.01368,-0.01,False
Arbitrum,2023-05-24 23:59:59,,0.03117,-0.024,False
Arbitrum,2023-07-06 23:59:59,,1.30773,-0.038,False
Arbitrum,2023-10-02 23:59:59,,,0.636,False
Arbitrum,2023-10-07 23:59:59,,0.00976,0.01,False
Arbitrum,2023-10-10 23:59:59,,-0.02071,-0.046,False
Arbitrum,2023-10-24 23:59:59,,0.02044,0.186,False
Arbitrum,2023-11-01 23:59:59,,0.03516,0.012,False
Arbitrum,2023-11-04 23:59:59,,-0.04309,0.026,False
