chain,start,end,duration_d,imp_share_chg_pre5,imp_share_chg_post3,imp_share_ctrl_med,release_trigger,state_at_end,in_conc_at_end,state_end_plus7,state_end_plus30,fwd7_propagation,subperiod
Tron,2023-07-13 23:59:59,2023-07-16 23:59:59,4,-0.33333,0.0,0.2,imp_share,LARGE_ALT_ROTATION,False,MIXED_NO_CLEAR_ROUTE,MIXED_NO_CLEAR_ROUTE,False,2023
Tron,2023-07-17 23:59:59,2023-07-20 23:59:59,4,0.5,-0.16667,0.0,imp_share,MIXED_NO_CLEAR_ROUTE,False,ETH_BROADENING,MIXED_NO_CLEAR_ROUTE,True,2023
Tron,2023-08-01 23:59:59,2023-08-05 23:59:59,5,-0.66667,0.16667,0.25,imp_share,MIXED_NO_CLEAR_ROUTE,False,MIXED_NO_CLEAR_ROUTE,MIXED_NO_CLEAR_ROUTE,False,2023
Tron,2023-09-08 23:59:59,2023-09-10 23:59:59,3,-0.33333,0.0,0.0,imp_share,MIXED_NO_CLEAR_ROUTE,False,BTC_CONCENTRATION,BTC_CONCENTRATION,False,2023
Tron,2023-10-06 23:59:59,2023-10-10 23:59:59,5,-0.16667,0.0,0.0,vel7,BTC_CONCENTRATION,True,BTC_CONCENTRATION,LARGE_ALT_ROTATION,False,2023
Tron,2023-10-25 23:59:59,2023-10-30 23:59:59,6,0.66667,0.0,0.0,imp_share,BTC_CONCENTRATION,True,BTC_CONCENTRATION,BROAD_RISK_EXPANSION,False,2023
Tron,2023-11-03 23:59:59,2023-11-17 23:59:59,13,-0.16667,0.16667,0.0,imp_share,LARGE_ALT_ROTATION,False,BROAD_RISK_EXPANSION,BTC_CONCENTRATION,True,2023
Tron,2023-11-25 23:59:59,2023-11-27 23:59:59,3,0.0,0.0,0.8,imp_share,BROAD_RISK_EXPANSION,False,MIXED_NO_CLEAR_ROUTE,BROAD_RISK_EXPANSION,False,2023
Tron,2023-12-05 23:59:59,2023-12-10 23:59:59,5,0.33333,0.0,-0.33333,vel7,MIXED_NO_CLEAR_ROUTE,False,BTC_CONCENTRATION,NARROW_LEADERSHIP,False,2023
Tron,2023-12-15 23:59:59,2023-12-17 23:59:59,3,-0.33333,-0.16667,0.25,vel7,MID_CAP_ROTATION,False,LARGE_ALT_ROTATION,NARROW_LEADERSHIP,True,2023
Tron,2023-12-20 23:59:59,2023-12-27 23:59:59,8,0.0,0.4,0.0,vel7,BROAD_RISK_EXPANSION,False,NARROW_LEADERSHIP,MIXED_NO_CLEAR_ROUTE,False,2023
Tron,2024-01-29 23:59:59,2024-02-04 23:59:59,7,0.8,-0.4,-0.2,vel7,MIXED_NO_CLEAR_ROUTE,False,BTC_CONCENTRATION,BTC_CONCENTRATION,False,2024
Tron,2024-02-09 23:59:59,2024-02-21 23:59:59,13,0.4,-0.4,0.4,vel7,BTC_CONCENTRATION,True,BTC_CONCENTRATION,BTC_CONCENTRATION,False,2024
Tron,2024-02-28 23:59:59,2024-03-05 23:59:59,7,0.6,-0.2,0.0,vel7,BTC_CONCENTRATION,True,MID_CAP_ROTATION,BTC_CONCENTRATION,True,2024
Tron,2024-03-10 23:59:59,2024-03-16 23:59:59,7,0.4,0.0,-0.2,vel7,MID_CAP_ROTATION,False,BTC_CONCENTRATION,MIXED_NO_CLEAR_ROUTE,False,2024
Tron,2024-03-27 23:59:59,2024-04-01 23:59:59,6,0.4,-0.2,0.33333,vel7,BTC_CONCENTRATION,True,BTC_CONCENTRATION,STABLECOIN_PARKING,False,2024
Tron,2024-05-06 23:59:59,2024-05-10 23:59:59,4,0.4,0.4,0.4,imp_share,STABLECOIN_PARKING,False,MIXED_NO_CLEAR_ROUTE,MIXED_NO_CLEAR_ROUTE,False,2024
Tron,2024-05-17 23:59:59,2024-05-29 23:59:59,13,0.0,0.2,-0.16667,vel7,MIXED_NO_CLEAR_ROUTE,False,BTC_CONCENTRATION,MIXED_NO_CLEAR_ROUTE,False,2024
Tron,2024-07-14 23:59:59,2024-07-24 23:59:59,11,0.4,0.2,0.25,tvl_chg7,BTC_CONCENTRATION,True,BTC_CONCENTRATION,MIXED_NO_CLEAR_ROUTE,False,2024
Tron,2024-08-12 23:59:59,2024-08-16 23:59:59,4,0.2,0.17143,0.2,imp_share,MIXED_NO_CLEAR_ROUTE,False,MIXED_NO_CLEAR_ROUTE,MIXED_NO_CLEAR_ROUTE,False,2024
Tron,2024-09-13 23:59:59,2024-09-18 23:59:59,6,-0.14286,0.0,0.0,tvl_chg7,BTC_CONCENTRATION,True,LARGE_ALT_ROTATION,BTC_CONCENTRATION,True,2024
Tron,2024-09-19 23:59:59,2024-09-26 23:59:59,8,0.42857,0.0,0.0,imp_share,BROAD_RISK_EXPANSION,False,LARGE_ALT_ROTATION,BTC_CONCENTRATION,True,2024
Tron,2024-11-12 23:59:59,2024-11-14 23:59:59,3,0.71429,-0.04762,-0.1,vel7,BTC_CONCENTRATION,True,MIXED_NO_CLEAR_ROUTE,BROAD_RISK_EXPANSION,False,2024
Tron,2024-11-21 23:59:59,2024-11-27 23:59:59,7,-0.16667,-0.16667,0.0,vel7,BROAD_RISK_EXPANSION,False,BROAD_RISK_EXPANSION,MIXED_NO_CLEAR_ROUTE,True,2024
Tron,2024-11-29 23:59:59,2024-12-01 23:59:59,3,0.0,0.33333,0.4,vel7,BROAD_RISK_EXPANSION,False,BROAD_RISK_EXPANSION,MIXED_NO_CLEAR_ROUTE,True,2024
Tron,2024-12-04 23:59:59,2024-12-08 23:59:59,5,-0.07143,-0.42857,0.375,tvl_chg7,BROAD_RISK_EXPANSION,False,BROAD_RISK_EXPANSION,MIXED_NO_CLEAR_ROUTE,True,2024
Tron,2024-12-09 23:59:59,2024-12-11 23:59:59,3,-0.14286,0.5,0.0,vel7,BROAD_RISK_EXPANSION,False,MIXED_NO_CLEAR_ROUTE,MIXED_NO_CLEAR_ROUTE,False,2024
Tron,2024-12-28 23:59:59,2024-12-30 23:59:59,3,0.16667,-0.16667,0.0,tvl_chg7,MIXED_NO_CLEAR_ROUTE,False,BTC_CONCENTRATION,MIXED_NO_CLEAR_ROUTE,False,2024
Tron,2025-01-06 23:59:59,2025-01-08 23:59:59,3,0.5,0.0,0.0,tvl_chg7,MIXED_NO_CLEAR_ROUTE,False,MIXED_NO_CLEAR_ROUTE,BTC_CONCENTRATION,False,2025-2026
Tron,2025-02-12 23:59:59,2025-02-15 23:59:59,4,-1.0,0.5,0.0,imp_share,MIXED_NO_CLEAR_ROUTE,False,MIXED_NO_CLEAR_ROUTE,STABLECOIN_PARKING,False,2025-2026
Tron,2025-02-16 23:59:59,2025-02-18 23:59:59,3,0.25,0.25,0.0,imp_share,MIXED_NO_CLEAR_ROUTE,False,STABLECOIN_PARKING,STABLECOIN_PARKING,False,2025-2026
Tron,2025-03-19 23:59:59,2025-03-21 23:59:59,3,0.2,-0.4,0.0,tvl_chg7,STABLECOIN_PARKING,False,BTC_CONCENTRATION,MIXED_NO_CLEAR_ROUTE,False,2025-2026
Tron,2025-03-23 23:59:59,2025-03-27 23:59:59,5,-0.8,0.6,0.1,vel7,NARROW_LEADERSHIP,False,MIXED_NO_CLEAR_ROUTE,BTC_CONCENTRATION,False,2025-2026
Tron,2025-04-24 23:59:59,2025-05-01 23:59:59,8,0.0,0.0,0.0,tvl_chg7,BTC_CONCENTRATION,True,BTC_CONCENTRATION,MIXED_NO_CLEAR_ROUTE,False,2025-2026
Tron,2025-05-09 23:59:59,2025-05-16 23:59:59,8,0.4,0.0,-0.125,imp_share,ETH_BROADENING,False,MIXED_NO_CLEAR_ROUTE,MIXED_NO_CLEAR_ROUTE,False,2025-2026
Tron,2025-06-11 23:59:59,2025-06-14 23:59:59,4,-0.35,0.4,0.0,imp_share,BTC_CONCENTRATION,True,MIXED_NO_CLEAR_ROUTE,MIXED_NO_CLEAR_ROUTE,False,2025-2026
Tron,2025-07-02 23:59:59,2025-07-05 23:59:59,4,0.26667,-0.5,-0.5,imp_share,BTC_CONCENTRATION,True,BTC_CONCENTRATION,BROAD_RISK_EXPANSION,False,2025-2026
Tron,2025-07-12 23:59:59,2025-07-25 23:59:59,14,0.5,0.33333,0.25,imp_share,BROAD_RISK_EXPANSION,False,ETH_BROADENING,NARROW_LEADERSHIP,True,2025-2026
Tron,2025-08-09 23:59:59,2025-08-14 23:59:59,6,0.4,0.4,0.14286,vel7,NARROW_LEADERSHIP,False,MIXED_NO_CLEAR_ROUTE,MIXED_NO_CLEAR_ROUTE,False,2025-2026
Tron,2025-09-10 23:59:59,2025-09-19 23:59:59,10,0.4,0.0,0.2619,vel7,NARROW_LEADERSHIP,False,MIXED_NO_CLEAR_ROUTE,MIXED_NO_CLEAR_ROUTE,False,2025-2026
Tron,2025-10-03 23:59:59,2025-10-09 23:59:59,7,0.4,0.4,0.2,imp_share,MIXED_NO_CLEAR_ROUTE,False,MIXED_NO_CLEAR_ROUTE,MIXED_NO_CLEAR_ROUTE,False,2025-2026
Tron,2025-12-12 23:59:59,2025-12-14 23:59:59,3,0.125,0.375,-0.14286,imp_share,MIXED_NO_CLEAR_ROUTE,False,BTC_CONCENTRATION,BTC_CONCENTRATION,False,2025-2026
Tron,2025-12-26 23:59:59,2025-12-29 23:59:59,4,-0.375,-0.125,0.02778,tvl_chg7,MIXED_NO_CLEAR_ROUTE,False,MIXED_NO_CLEAR_ROUTE,MIXED_NO_CLEAR_ROUTE,False,2025-2026
Tron,2026-01-02 23:59:59,2026-01-08 23:59:59,7,0.42857,0.07143,0.0,vel7,MIXED_NO_CLEAR_ROUTE,False,BTC_CONCENTRATION,CAPITAL_EXIT,False,2025-2026
Tron,2026-04-15 23:59:59,2026-04-22 23:59:59,8,0.3,0.1,0.0,tvl_chg7,BTC_CONCENTRATION,True,BTC_CONCENTRATION,LARGE_ALT_ROTATION,False,2025-2026
Tron,2026-05-06 23:59:59,2026-05-13 23:59:59,8,0.1,0.5,0.23333,vel7,MID_CAP_ROTATION,False,BTC_CONCENTRATION,NARROW_LEADERSHIP,False,2025-2026
Tron,2026-06-14 23:59:59,2026-06-18 23:59:59,5,0.5,0.3,0.3,imp_share,LARGE_ALT_ROTATION,False,LARGE_ALT_ROTATION,BTC_CONCENTRATION,True,2025-2026
Tron,2026-08-21 23:59:59,2026-08-23 23:59:59,3,-0.18889,0.0,0.0,tvl_chg7,BTC_CONCENTRATION,True,BTC_CONCENTRATION,BTC_CONCENTRATION,False,2025-2026
Ethereum,2020-06-09 23:59:59,2020-06-11 23:59:59,3,0.32319,-0.01785,0.08096,,MIXED_NO_CLEAR_ROUTE,False,MIXED_NO_CLEAR_ROUTE,BROAD_RISK_EXPANSION,False,2020-2021
Ethereum,2020-06-13 23:59:59,2020-06-15 23:59:59,3,-0.0378,0.14419,-0.01047,,MIXED_NO_CLEAR_ROUTE,False,MIXED_NO_CLEAR_ROUTE,ETH_BROADENING,False,2020-2021
Ethereum,2020-06-18 23:59:59,2020-06-21 23:59:59,4,0.16475,-0.12261,0.0,,MIXED_NO_CLEAR_ROUTE,False,MIXED_NO_CLEAR_ROUTE,ETH_BROADENING,False,2020-2021
Ethereum,2020-06-24 23:59:59,2020-08-03 23:59:59,41,0.04683,-0.15242,0.01556,imp_share,ETH_BROADENING,False,MIXED_NO_CLEAR_ROUTE,ETH_BROADENING,False,2020-2021
Ethereum,2020-08-04 23:59:59,2020-08-26 23:59:59,23,0.15187,-0.15629,-0.03098,vel7,BROAD_RISK_EXPANSION,False,ETH_BROADENING,MIXED_NO_CLEAR_ROUTE,True,2020-2021
Ethereum,2020-08-27 23:59:59,2020-09-07 23:59:59,12,0.09665,0.04029,0.01116,tvl_chg7,STABLECOIN_PARKING,False,NARROW_LEADERSHIP,MIXED_NO_CLEAR_ROUTE,False,2020-2021
