family,delay_h,hold_h,split,n,mean_net_bps,mean_gross_bps,win_prob,mean_cost_bps
JPY_LIQUIDATION_CHF_STRENGTH,2,60,RELATIONSHIP_CONFIRMED_OOS,492,4.809556480664662,5.582159220390689,0.491869918699187,0.7726027397260277
JPY_LIQUIDATION_CHF_STRENGTH,2,72,inner_sel,860,0.3459403854396762,0.9130636731109087,0.4883720930232558,0.5671232876712328
JPY_LIQUIDATION_CHF_STRENGTH,2,72,inner_val,280,21.056862893019023,21.623986180690263,0.5892857142857143,0.5671232876712329
JPY_LIQUIDATION_CHF_STRENGTH,2,72,RELATIONSHIP_CONFIRMED_OOS,492,4.601165649245321,5.168288936916553,0.4979674796747967,0.5671232876712329
JPY_LIQUIDATION_CHF_STRENGTH,3,24,inner_sel,784,0.6286063011360817,2.0176473970264928,0.4566326530612244,1.389041095890411
JPY_LIQUIDATION_CHF_STRENGTH,3,24,inner_val,260,11.1531716239448,12.542212719835211,0.55,1.3890410958904111
JPY_LIQUIDATION_CHF_STRENGTH,3,24,RELATIONSHIP_CONFIRMED_OOS,460,1.7005798971329904,3.0896209930234018,0.5260869565217391,1.3890410958904107
JPY_LIQUIDATION_CHF_STRENGTH,3,36,inner_sel,788,0.823130325262031,2.0066919690976475,0.4873096446700508,1.1835616438356162
JPY_LIQUIDATION_CHF_STRENGTH,3,36,inner_val,260,20.226342850863936,21.40990449469955,0.6,1.1835616438356165
JPY_LIQUIDATION_CHF_STRENGTH,3,36,RELATIONSHIP_CONFIRMED_OOS,460,2.0244430744791777,3.2080047183147946,0.5108695652173914,1.1835616438356165
JPY_LIQUIDATION_CHF_STRENGTH,3,48,inner_sel,788,0.2917000302364632,1.2697822220172852,0.4860406091370558,0.978082191780822
JPY_LIQUIDATION_CHF_STRENGTH,3,48,inner_val,260,21.58297864979375,22.561060841574573,0.5923076923076923,0.978082191780822
JPY_LIQUIDATION_CHF_STRENGTH,3,48,RELATIONSHIP_CONFIRMED_OOS,460,1.833205477662761,2.8112876694435824,0.4673913043478261,0.978082191780822
JPY_LIQUIDATION_CHF_STRENGTH,3,60,inner_sel,860,0.316049261397388,1.0886520011234166,0.4720930232558139,0.7726027397260277
JPY_LIQUIDATION_CHF_STRENGTH,3,60,inner_val,280,15.971236298531991,16.743839038258017,0.5857142857142857,0.7726027397260276
JPY_LIQUIDATION_CHF_STRENGTH,3,60,RELATIONSHIP_CONFIRMED_OOS,492,4.026481053124606,4.799083792850633,0.4857723577235772,0.7726027397260277
JPY_LIQUIDATION_CHF_STRENGTH,3,72,inner_sel,860,-0.6358580207834026,-0.068734733112169,0.4744186046511628,0.5671232876712328
JPY_LIQUIDATION_CHF_STRENGTH,3,72,inner_val,280,21.13516143455195,21.702284722223183,0.575,0.5671232876712329
JPY_LIQUIDATION_CHF_STRENGTH,3,72,RELATIONSHIP_CONFIRMED_OOS,492,3.797102869634135,4.364226157305368,0.4959349593495935,0.5671232876712329
JPY_LIQUIDATION_CHF_STRENGTH,4,24,inner_sel,780,-0.9854230870542268,0.4036180088361842,0.4769230769230769,1.389041095890411
JPY_LIQUIDATION_CHF_STRENGTH,4,24,inner_val,260,11.087665487635885,12.476706583526294,0.55,1.3890410958904111
