conditioning,checkpoint,remaining_range_definition,n,mean,median,p10,p25,p50,p75,p90,iqr,mad,variance,condition_value
directional_balance_bucket,03AM,,52,33.17307692307695,28.149999999997895,12.919999999998044,19.0499999999999,28.149999999997895,41.52500000000059,57.28999999999893,22.475000000000687,11.100000000000552,425.8023520710008,BALANCED
directional_balance_bucket,03AM,,132,54.621212121211975,48.899999999999494,23.619999999999084,35.02500000000019,48.899999999999494,71.07500000000044,87.55000000000025,36.05000000000025,16.64999999999916,875.0322773186472,DOWN_HEAVY
directional_balance_bucket,03AM,,79,38.583544303797616,34.30000000000044,12.339999999999575,23.250000000000213,34.30000000000044,50.99999999999993,66.03999999999967,27.749999999999716,14.800000000001475,543.8864380708177,DOWN_LEAN
directional_balance_bucket,03AM,,126,55.45396825396839,48.700000000000415,25.54999999999974,34.25000000000067,48.700000000000415,69.94999999999918,93.80000000000055,35.69999999999851,17.70000000000049,846.4275636180236,UP_HEAVY
directional_balance_bucket,03AM,,53,40.98867924528278,38.60000000000196,17.83999999999919,24.199999999998667,38.60000000000196,53.000000000000824,65.83999999999968,28.800000000002157,14.400000000003295,479.1919473122014,UP_LEAN
TIME_ONLY,06AM,final_range_minus_delivered_range,442,39.43461538461534,34.79999999999927,11.620000000000406,20.724999999998104,34.79999999999927,51.00000000000048,73.15000000000005,30.27500000000238,14.899999999997691,726.0523990602132,
tier,06AM,,232,39.64439655172404,34.999999999999474,14.81999999999939,23.475000000000577,34.999999999999474,49.39999999999888,68.55000000000099,25.924999999998306,12.999999999998565,600.3216065323988,1.0
tier,06AM,,139,39.69784172661875,35.30000000000033,10.63999999999909,19.550000000000402,35.30000000000033,55.849999999999504,74.31999999999883,36.2999999999991,18.299999999999983,728.0010744785429,2.0
tier,06AM,,61,37.97704918032783,30.900000000000368,7.699999999999378,15.899999999999807,30.900000000000368,49.7000000000014,72.1000000000016,33.800000000001596,15.600000000000051,1129.0981617844668,3.0
initial_3am_state,06AM,,10,39.800000000000054,34.50000000000065,0.9899999999984985,11.975000000000728,34.50000000000065,56.62500000000015,94.47000000000006,44.64999999999942,25.699999999999616,1142.2640000000042,AR_NO_GO_STATE
initial_3am_state,06AM,,56,41.49285714285697,34.89999999999993,14.199999999999768,21.900000000000254,34.89999999999993,53.999999999998494,73.10000000000038,32.09999999999824,15.199999999999656,829.8156632652992,BALANCED_ASIA
initial_3am_state,06AM,,10,60.60000000000021,32.550000000000075,2.969999999999473,15.575000000001005,32.550000000000075,94.87499999999983,133.24000000000044,79.29999999999882,29.550000000000406,4050.984000000009,FULL_LOOP
initial_3am_state,06AM,,32,34.82187500000004,27.599999999999845,15.75999999999933,21.624999999999005,27.599999999999845,43.250000000000234,62.11000000000056,21.62500000000123,8.950000000000903,529.3235839843752,ONE_SIDED_DOWN
initial_3am_state,06AM,,32,38.35624999999981,32.7999999999995,16.089999999998607,22.32499999999804,32.7999999999995,48.39999999999955,65.62000000000023,26.07500000000151,11.85000000000103,653.8343359375017,ONE_SIDED_UP
initial_3am_state,06AM,,29,34.2551724137931,28.40000000000176,9.779999999999678,13.90000000000002,28.40000000000176,47.59999999999876,74.31999999999883,33.69999999999874,15.400000000000972,620.7941973840575,OVER_COMPLETED
initial_3am_state,06AM,,273,39.44102564102561,36.70000000000062,11.199999999999655,23.000000000001904,36.70000000000062,51.699999999998965,71.98000000000127,28.69999999999706,14.400000000001071,587.6723095707683,PARTIAL_LOOP
loop_count,06AM,,10,39.800000000000054,34.50000000000065,0.9899999999984985,11.975000000000728,34.50000000000065,56.62500000000015,94.47000000000006,44.64999999999942,25.699999999999616,1142.2640000000042,0
loop_count,06AM,,1,48.69999999999708,48.69999999999708,48.69999999999708,48.69999999999708,48.69999999999708,48.69999999999708,48.69999999999708,0.0,0.0,0.0,8
loop_count,06AM,,1,35.099999999999014,35.099999999999014,35.099999999999014,35.099999999999014,35.099999999999014,35.099999999999014,35.099999999999014,0.0,0.0,0.0,10
loop_count,06AM,,1,13.900000000000023,13.900000000000023,13.900000000000023,13.900000000000023,13.900000000000023,13.900000000000023,13.900000000000023,0.0,0.0,0.0,11
loop_count,06AM,,2,18.049999999999454,18.049999999999454,11.689999999999534,14.074999999999504,18.049999999999454,22.0249999999994,24.409999999999375,7.949999999999898,7.9499999999999,63.20249999999841,12
loop_count,06AM,,2,60.850000000000065,60.850000000000065,25.290000000000695,38.625000000000455,60.850000000000065,83.07499999999968,96.40999999999943,44.44999999999922,44.44999999999921,1975.8024999999295,13
loop_count,06AM,,3,18.43333333333197,19.49999999999896,10.059999999999294,13.599999999999168,19.49999999999896,23.799999999998263,26.379999999997846,10.199999999999095,8.599999999998609,69.92888888887693,14
loop_count,06AM,,6,45.14999999999936,44.899999999998826,14.049999999999896,21.749999999999268,44.899999999998826,53.94999999999928,76.49999999999935,32.20000000000001,20.400000000000418,795.265833333312,15
loop_count,06AM,,5,58.699999999999974,61.29999999999968,40.759999999999685,42.200000000001125,61.29999999999968,68.70000000000154,76.3799999999999,26.500000000000412,19.099999999998552,251.21199999999698,16
loop_count,06AM,,12,25.82500000000006,24.750000000001158,18.96000000000142,21.89999999999803,24.750000000001158,31.100000000000016,39.10999999999887,9.200000000001985,5.500000000000506,92.07687499999527,17
loop_count,06AM,,13,31.30769230769279,27.699999999999388,10.580000000000478,13.100000000001444,27.699999999999388,45.600000000001195,57.88000000000171,32.49999999999975,14.800000000001475,382.1068639053338,18
loop_count,06AM,,10,26.2099999999994,17.649999999999054,4.049999999998555,6.325000000000359,17.649999999999054,48.34999999999922,54.23999999999939,42.02499999999886,15.399999999999856,468.88089999999477,19
loop_count,06AM,,21,33.33809523809519,28.299999999998878,15.300000000000317,20.10000000000067,28.299999999998878,43.69999999999985,59.80000000000096,23.599999999999177,10.80000000000192,302.98140589569385,20
