participation,sign,rank_band,horizon,state,n,n_valid,prob,assets
MULTI_BAND,UP,751-1000,3D,25P_GIVEBACK,587,1619,0.3625694873378629,459
MULTI_BAND,UP,751-1000,3D,50P_GIVEBACK,296,1619,0.18282890673255095,246
MULTI_BAND,UP,751-1000,3D,FULL_REVERSAL,896,1619,0.5534280420012353,649
MULTI_BAND,UP,751-1000,3D,NEW_EXTREME,136,1619,0.08400247066090179,126
MULTI_BAND,UP,751-1000,5D,STABILIZED,759,1629,0.46593001841620624,562
MULTI_BAND,UP,751-1000,5D,1S_RECOVERY,393,1629,0.24125230202578268,327
MULTI_BAND,UP,751-1000,5D,25P_GIVEBACK,621,1629,0.3812154696132597,493
MULTI_BAND,UP,751-1000,5D,50P_GIVEBACK,383,1629,0.23511356660527932,326
MULTI_BAND,UP,751-1000,5D,FULL_REVERSAL,870,1629,0.5340699815837937,639
MULTI_BAND,UP,751-1000,5D,NEW_EXTREME,214,1629,0.13136893799877225,188
MULTI_BAND,UP,751-1000,7D,STABILIZED,784,1654,0.4740024183796856,583
MULTI_BAND,UP,751-1000,7D,1S_RECOVERY,404,1654,0.24425634824667472,324
MULTI_BAND,UP,751-1000,7D,25P_GIVEBACK,615,1654,0.37182587666263606,485
MULTI_BAND,UP,751-1000,7D,50P_GIVEBACK,410,1654,0.2478839177750907,338
MULTI_BAND,UP,751-1000,7D,FULL_REVERSAL,870,1654,0.5259975816203144,639
MULTI_BAND,UP,751-1000,7D,NEW_EXTREME,277,1654,0.1674727932285369,231
MULTI_BAND,UP,751-1000,10D,STABILIZED,822,1653,0.49727767695099817,614
MULTI_BAND,UP,751-1000,10D,1S_RECOVERY,438,1653,0.26497277676951,352
MULTI_BAND,UP,751-1000,10D,25P_GIVEBACK,636,1653,0.38475499092558985,507
MULTI_BAND,UP,751-1000,10D,50P_GIVEBACK,432,1653,0.2613430127041742,367
MULTI_BAND,UP,751-1000,10D,FULL_REVERSAL,831,1653,0.5027223230490018,626
MULTI_BAND,UP,751-1000,10D,NEW_EXTREME,340,1653,0.205686630369026,275
MULTI_BAND,UP,751-1000,14D,STABILIZED,818,1653,0.49485783424077434,601
MULTI_BAND,UP,751-1000,14D,1S_RECOVERY,433,1653,0.2619479733817302,339
MULTI_BAND,UP,751-1000,14D,25P_GIVEBACK,649,1653,0.3926194797338173,511
MULTI_BAND,UP,751-1000,14D,50P_GIVEBACK,473,1653,0.28614640048396855,398
MULTI_BAND,UP,751-1000,14D,FULL_REVERSAL,835,1653,0.5051421657592257,621
