date,direction,entry_price,exit_price,pnl_pips,exit_reason,signal_type,tier
2025-02-06,-1,1.03606,1.03713,-11.200000000001264,hard_exit_12pm,cascade_3,T2
2025-02-07,-1,1.03607,1.0359744000000002,0.4559999999986246,kill_switch_132,signal1,T1
2025-02-07,-1,1.03607,1.0359744000000002,0.4559999999986246,kill_switch_132,signal2,T1
2025-02-07,-1,1.03636,1.0374856,-11.755999999999489,sl_80pct_body,cascade_2,T1
2025-02-10,1,1.03283,1.0323419999999999,-5.3800000000004395,sl_80pct_body,signal1,T2
2025-02-10,1,1.03283,1.0323419999999999,-5.3800000000004395,sl_80pct_body,signal2,T2
2025-02-14,1,1.04708,1.0475,3.7000000000008697,tp1_ar25,signal1,T1
2025-02-14,1,1.04708,1.04792,7.899999999999519,tp2_ar50,signal2,T1
2025-02-14,1,1.04833,1.0485976000000004,2.1760000000036754,kill_switch_132,cascade_2,T1
2025-02-14,1,1.04768,1.0485976000000004,8.67600000000407,kill_switch_132,cascade_3,T1
2025-02-21,-1,1.04745,1.0471175000000001,2.824999999998468,tp1_ar25,signal1,T1
2025-02-21,-1,1.04745,1.0474044000000002,-0.04400000000243054,kill_switch_132,signal2,T1
2025-02-21,-1,1.04811,1.0474044000000002,6.555999999998619,kill_switch_132,cascade_2,T1
2025-02-21,-1,1.04767,1.0474044000000002,2.1559999999986594,kill_switch_132,cascade_3,T1
2025-02-28,1,1.04016,1.039712,-4.9800000000000395,sl_80pct_body,signal1,T1
2025-02-28,1,1.04016,1.039712,-4.9800000000000395,sl_80pct_body,signal2,T1
2025-02-28,1,1.0406,1.0403440000000002,-3.0599999999981193,kill_switch_132,cascade_2,T1
2025-03-06,1,1.08153,1.0811220000000001,-4.5799999999996395,sl_80pct_body,signal1,T3
2025-03-06,1,1.08153,1.0811220000000001,-4.5799999999996395,sl_80pct_body,signal2,T3
2025-03-06,1,1.08145,1.0795348000000002,-19.651999999997837,sl_80pct_body,cascade_2,T3
2025-03-06,1,1.08155,1.0802227999999998,-13.772000000001949,sl_80pct_body,cascade_3,T3
2025-03-07,1,1.08273,1.0832575,4.775000000000141,tp1_ar25,signal1,T2
2025-03-07,1,1.08273,1.083785,10.050000000000281,tp2_ar50,signal2,T2
2025-03-07,1,1.08328,1.0845452000000002,12.152000000001884,kill_switch_132,cascade_2,T2
2025-03-07,1,1.08389,1.0845452000000002,6.05200000000189,kill_switch_132,cascade_3,T2
2025-03-10,-1,1.08222,1.081445,7.249999999999702,tp1_ar25,signal1,T3
2025-03-10,-1,1.08222,1.08067,14.999999999999403,tp2_ar50,signal2,T3
2025-03-10,-1,1.08115,1.08067,4.3000000000003595,tp2_ar50,cascade_2,T3
2025-03-10,-1,1.08165,1.08067,9.299999999999809,tp2_ar50,cascade_3,T3
2025-03-12,1,1.09156,1.0909920000000002,-6.179999999999019,sl_80pct_body,signal1,T2
2025-03-12,1,1.09156,1.0909920000000002,-6.179999999999019,sl_80pct_body,signal2,T2
2025-03-12,1,1.09171,1.0922800000000001,5.200000000001815,tp1_ar25,cascade_2,T2
2025-03-12,1,1.09248,1.093,4.70000000000076,tp2_ar50,cascade_3,T2
2025-03-14,-1,1.08311,1.083526,-4.6599999999997195,sl_80pct_body,signal1,T1
2025-03-14,-1,1.08311,1.083526,-4.6599999999997195,sl_80pct_body,signal2,T1
2025-03-18,1,1.09472,1.093912,-8.579999999999199,sl_80pct_body,signal1,T3
2025-03-18,1,1.09472,1.093912,-8.579999999999199,sl_80pct_body,signal2,T3
2025-03-19,-1,1.09023,1.0891600000000001,10.199999999999044,tp1_ar25,signal1,T3
2025-03-19,-1,1.09023,1.0880900000000002,20.899999999998087,tp2_ar50,signal2,T3
2025-03-19,-1,1.08896,1.08995,-10.400000000000464,hard_exit_12pm,cascade_2,T3
2025-03-19,-1,1.09009,1.08995,0.9000000000002899,hard_exit_12pm,cascade_3,T3
2025-03-24,1,1.08433,1.083922,-4.5799999999996395,sl_80pct_body,signal1,T3
2025-03-24,1,1.08433,1.083922,-4.5799999999996395,sl_80pct_body,signal2,T3
2025-03-24,1,1.08421,1.0852650000000001,10.050000000002502,tp1_ar25,cascade_2,T3
2025-03-24,1,1.08355,1.07928,-43.19999999999996,hard_exit_12pm,cascade_3,T3
2025-03-25,1,1.08117,1.0819424999999998,7.224999999998428,tp1_ar25,signal1,T3
2025-03-25,1,1.08117,1.0827149999999999,14.949999999999076,tp2_ar50,signal2,T3
2025-03-27,-1,1.0757,1.076252,-6.019999999998859,sl_80pct_body,signal1,T3
2025-03-27,-1,1.0757,1.076252,-6.019999999998859,sl_80pct_body,signal2,T3
2025-03-27,-1,1.07582,1.0767103999999998,-9.403999999998469,sl_80pct_body,cascade_2,T3
2025-03-27,-1,1.07646,1.0775352,-11.252000000000539,sl_80pct_body,cascade_3,T3
2025-03-28,-1,1.07714,1.077636,-5.4600000000005195,sl_80pct_body,signal1,T1
2025-03-28,-1,1.07714,1.077636,-5.4600000000005195,sl_80pct_body,signal2,T1
2025-04-01,-1,1.07868,1.07928,-6.499999999999339,sl_80pct_body,signal1,T3
2025-04-01,-1,1.07868,1.07928,-6.499999999999339,sl_80pct_body,signal2,T3
2025-04-04,1,1.11031,1.109942,-4.179999999999239,sl_80pct_body,signal1,T3
2025-04-04,1,1.11031,1.109942,-4.179999999999239,sl_80pct_body,signal2,T3
2025-04-17,-1,1.13489,1.135602,-7.620000000000459,sl_80pct_body,signal1,T2
2025-04-17,-1,1.13489,1.135602,-7.620000000000459,sl_80pct_body,signal2,T2
2025-04-17,-1,1.13517,1.1361948,-10.747999999999369,sl_80pct_body,cascade_2,T2
2025-04-18,-1,1.13616,1.1358575000000002,2.524999999998723,tp1_ar25,signal1,T1
2025-04-18,-1,1.13616,1.13837,-22.600000000000453,hard_exit_12pm,signal2,T1
2025-04-25,1,1.13651,1.1355356000000003,-10.243999999995978,sl_80pct_body,cascade_2,T3
2025-04-25,1,1.13617,1.135122,-10.979999999999379,sl_80pct_body,signal1,T3
2025-04-25,1,1.13617,1.135122,-10.979999999999379,sl_80pct_body,signal2,T3
2025-05-01,1,1.13197,1.1330799999999999,10.599999999999444,tp1_ar25,signal1,T3
2025-05-01,1,1.13197,1.13099,-10.299999999999809,hard_exit_12pm,signal2,T3
2025-05-01,1,1.1328,1.13099,-18.600000000000893,hard_exit_12pm,cascade_2,T3
2025-05-01,1,1.13198,1.13099,-10.400000000000464,hard_exit_12pm,cascade_3,T3
2025-05-02,1,1.13188,1.13245,5.199999999999594,tp1_ar25,signal1,T2
2025-05-02,1,1.13188,1.1330200000000001,10.900000000001409,tp2_ar50,signal2,T2
2025-05-02,1,1.13249,1.1330200000000001,4.800000000001415,tp2_ar50,cascade_2,T2
2025-05-02,1,1.13207,1.1345896000000002,24.696000000002883,kill_switch_132,cascade_3,T2
2025-05-09,1,1.12306,1.12266,-4.4999999999995595,sl_80pct_body,signal1,T3
2025-05-09,1,1.12306,1.12266,-4.4999999999995595,sl_80pct_body,signal2,T3
2025-05-09,1,1.12359,1.1238949999999999,2.5499999999977767,tp1_ar25,cascade_2,T3
2025-05-09,1,1.12407,1.1247299999999998,6.099999999998829,tp2_ar50,cascade_3,T3
2025-05-14,1,1.12076,1.1216925,8.825000000000028,tp1_ar25,signal1,T3
2025-05-14,1,1.12076,1.122625,18.150000000000055,tp2_ar50,signal2,T3
