alloc_id,heat_id,edge,scheme,f_from,f_to,d_median_cagr,d_p95_dd,d_p99_dd,d_P_dd_ge_10,d_P_dd_ge_20,d_median_dur,inc_ret_per_p95_dd,inc_ret_per_p95_dd_flag,inc_ret_per_p99_dd,inc_ret_per_p99_dd_flag
A0_50_50,H0,0.25,block,0.25,0.5,-0.05298419022398704,0.15790436372739827,0.16802749078631718,0.014900000000000024,0.9410000000000001,0.0,-0.3355460797489896,OK,-0.3153304853630633,OK
A0_50_50,H0,0.25,block,0.5,0.75,-0.05023982879227451,0.12734313268690833,0.1325921445598317,0.0,0.02510000000000001,0.0,-0.3945232674289273,OK,-0.3789050170283955,OK
A0_50_50,H0,0.25,block,0.75,1.0,-0.047615530150285634,0.10260802791634238,0.10453763104315084,0.0,0.00039999999999995595,0.0,-0.4640526781111823,OK,-0.45548698277494915,OK
A0_50_50,H0,0.25,block,1.0,1.5,-0.08787066887161044,0.1490651380001048,0.1471952231267235,0.0,0.0,0.0,-0.5894783317582187,OK,-0.5969668512677256,OK
A0_50_50,H0,0.25,block,1.5,2.0,-0.07881234078917349,0.09632501456945364,0.09107934860592515,0.0,0.0,0.0,-0.8181918387600875,OK,-0.8653151564595881,OK
A0_50_50,H0,0.25,block,2.0,3.0,-0.1337896821796109,0.10176127592165529,0.09047552043867046,0.0,0.0,0.0,-1.31474061196534,OK,-1.4787390172604895,OK
A0_50_50,H0,0.25,episode,0.25,0.5,-0.05318108403025168,0.15667749223655805,0.16658590815327104,0.012800000000000034,0.9498,0.0,-0.3394302734304473,OK,-0.3192411928464036,OK
A0_50_50,H0,0.25,episode,0.5,0.75,-0.05039921349224635,0.12666820687183705,0.1318687603728807,0.0,0.022299999999999986,0.0,-0.39788368949787295,OK,-0.3821922140599051,OK
A0_50_50,H0,0.25,episode,0.75,1.0,-0.04777936242268449,0.10236752076325961,0.10429735006282215,0.0,0.0,0.0,-0.4667433778452201,OK,-0.4581071560677737,OK
A0_50_50,H0,0.25,episode,1.0,1.5,-0.0881160787014243,0.149250708451793,0.1474943170691685,0.0,0.0,0.0,-0.5903896846820342,OK,-0.5974201613483294,OK
A0_50_50,H0,0.25,episode,1.5,2.0,-0.0790032216869942,0.09696122321497869,0.09179672703395059,0.0,0.0,0.0,-0.8147919247247046,OK,-0.860632227745715,OK
A0_50_50,H0,0.25,episode,2.0,3.0,-0.13398844681459898,0.10311891652223559,0.0921305843107526,0.0,0.0,0.0,-1.2993585593551789,OK,-1.4543318900774749,OK
A0_50_50,H0,0.25,iid,0.25,0.5,-0.05261899410234622,0.15478864069622997,0.1629600910148517,0.009499999999999953,0.964,0.0,-0.33994092761373934,OK,-0.3228949724724361,OK
A0_50_50,H0,0.25,iid,0.5,0.75,-0.04992050551826821,0.1256333470588622,0.13004626012229753,0.0,0.017000000000000015,0.0,-0.3973507566814985,OK,-0.3838672905420132,OK
A0_50_50,H0,0.25,iid,0.75,1.0,-0.047349933057173055,0.10188401315603307,0.10368766292036224,0.0,0.0,0.0,-0.46474350185497404,OK,-0.4566592757861692,OK
A0_50_50,H0,0.25,iid,1.0,1.5,-0.087425596368844,0.14943133967848587,0.1483355815927324,0.0,0.0,0.0,-0.5850552940029016,OK,-0.5893771098621381,OK
A0_50_50,H0,0.25,iid,1.5,2.0,-0.07842918262062826,0.09779101129537393,0.09380006734671686,0.0,0.0,0.0,-0.802008094422257,OK,-0.8361314105535489,OK
A0_50_50,H0,0.25,iid,2.0,3.0,-0.13340005714538972,0.10520603392705719,0.09619848284995236,0.0,0.0,0.0,-1.2679886520375854,OK,-1.3867168503422587,OK
A0_50_50,H1-1.00-REJ,1.0,block,0.25,0.5,0.16350638665192874,0.019134599509329067,0.023089039248384916,0.0,0.0,1.0,8.545064482390199,OK,7.081558695144323,OK
A0_50_50,H1-1.00-REJ,1.0,block,0.5,0.75,0.18568213036395942,0.018846305103912393,0.022681954468481286,0.0,0.0,0.0,9.852442128054735,OK,8.186337320356685,OK
A0_50_50,H1-1.00-REJ,1.0,block,0.75,1.0,0.21068870772508563,0.018624877353007087,0.022276756936943823,0.0036,0.0,0.0,11.31221987301134,OK,9.457781863017907,OK
A0_50_50,H1-1.00-REJ,1.0,block,1.0,1.5,0.5096306026203291,0.036298760116111786,0.04403781960658339,0.1137,0.0,0.0,14.039890095147394,OK,11.572566652326774,OK
A0_50_50,H1-1.00-REJ,1.0,block,1.5,2.0,0.6530530406888668,0.0353713106309098,0.041827683735406684,0.36679999999999996,0.0018,1.0,18.46278888286898,OK,15.612938187539761,OK
A0_50_50,H1-1.00-REJ,1.0,block,2.0,3.0,1.8956238464892696,0.06765990919972714,0.07842357664315328,0.5079,0.0877,0.0,28.016943399872524,OK,24.171606647256453,OK
A0_50_50,H1-1.00-REJ,1.0,episode,0.25,0.5,0.16320845630662595,0.020913757157288965,0.025547874976147827,0.0,0.0,0.0,7.803880243954336,OK,6.388337834712346,OK
A0_50_50,H1-1.00-REJ,1.0,episode,0.5,0.75,0.1852971922901795,0.020540833966379277,0.02502384759581315,0.0007,0.0,0.0,9.020918653715292,OK,7.404824201422262,OK
A0_50_50,H1-1.00-REJ,1.0,episode,0.75,1.0,0.21026518313437004,0.020217078345615924,0.02455667248950545,0.010100000000000001,0.0,0.0,10.400374353793117,OK,8.56244604085627,OK
