alloc_id,heat_id,f_pct,edge,scheme,p95_dd_ci_lo,p95_dd_ci_hi,p99_dd_ci_lo,p99_dd_ci_hi,median_cagr_ci_lo,median_cagr_ci_hi
A1_70_30,H0,3.0,0.5,block,0.5661845624679486,0.5769159444130582,0.6506511513014174,0.672296205940466,0.1075622869956874,0.11626281114853283
A1_70_30,H0,3.0,0.25,block,0.9252347540635495,0.9275878459865655,0.9427760885813823,0.9475341378472051,-0.48610692883602863,-0.48243341110689497
A1_70_30,H1-1.00-REJ,0.25,1.0,block,0.015796621765126785,0.016161275919014832,0.01860233352043479,0.01929377346645581,0.1412016675783764,0.1419369602661344
A1_70_30,H1-1.00-REJ,0.25,0.75,block,0.0202642244704123,0.02072431505767686,0.024431093130957322,0.02592269232512096,0.0760472568069209,0.07662383651382015
A1_70_30,H1-1.00-REJ,0.25,0.5,block,0.040834793931044104,0.04196448576990181,0.05083012918879807,0.05368846893596281,0.01459191206180267,0.01514876555763826
A1_70_30,H1-1.00-REJ,0.25,0.25,block,0.1567314257727403,0.15832864930109006,0.1690848761776487,0.17320870034649466,-0.04333445535725754,-0.04289940151132306
A1_70_30,H1-1.00-REJ,0.5,1.0,block,0.031458212317289604,0.03214567896005128,0.036975774799560955,0.03840443179217371,0.30125499066682493,0.3029062778820995
A1_70_30,H1-1.00-REJ,0.5,0.75,block,0.04025352623136135,0.041205303138636906,0.04851936789599069,0.05134509675245586,0.15721090101392451,0.15846341499769692
A1_70_30,H1-1.00-REJ,0.5,0.5,block,0.08047032768041804,0.0826351767550789,0.09982612680370927,0.10498108096627408,0.02904294567642115,0.030140471632552207
A1_70_30,H1-1.00-REJ,0.5,0.25,block,0.28946623021240037,0.29216819950918277,0.31017094110936694,0.317031275150413,-0.08501828585962364,-0.08418549190076521
A1_70_30,H1-1.00-REJ,0.75,1.0,block,0.046968031956587546,0.04793053517479147,0.055111079478149146,0.05717725534436793,0.4824978139055097,0.4853080381091239
A1_70_30,H1-1.00-REJ,0.75,0.75,block,0.059950125489679984,0.06135572833222792,0.07226324773584077,0.07624964127168293,0.243818109794069,0.24581776719119702
A1_70_30,H1-1.00-REJ,0.75,0.5,block,0.11897292822389786,0.12193978319327563,0.14678191944808217,0.15376644613642992,0.04327701798671585,0.04497642267699202
A1_70_30,H1-1.00-REJ,0.75,0.25,block,0.4018163947963706,0.4052188735407509,0.4278571931495429,0.43627129514821594,-0.12509887301126585,-0.12392057199423452
A1_70_30,H1-1.00-REJ,1.0,1.0,block,0.06232730541286751,0.06352730584760242,0.07300437253668159,0.07566426641581733,0.6877591792140622,0.6917799184418197
A1_70_30,H1-1.00-REJ,1.0,0.75,block,0.07941417312154082,0.08121014998448264,0.09566125894430498,0.10082092151063868,0.33616948797512175,0.3390283871508122
A1_70_30,H1-1.00-REJ,1.0,0.5,block,0.15629240872099148,0.15994548482923396,0.19181221396929948,0.2008970122096265,0.057316220575716545,0.059648352555154334
A1_70_30,H1-1.00-REJ,1.0,0.25,block,0.4968363851417852,0.500642116717467,0.5258011925671985,0.5350747604483851,-0.16363771782594339,-0.16214229760044613
A1_70_30,H1-1.00-REJ,1.5,1.0,block,0.09267170487338972,0.09423544436903536,0.1080658566178438,0.11192723717322409,1.1817219586431769,1.1895245214752632
A1_70_30,H1-1.00-REJ,1.5,0.75,block,0.11756789088040612,0.12014493222575165,0.141438549443894,0.14853469349352147,0.5392990487249845,0.5443084024070408
A1_70_30,H1-1.00-REJ,1.5,0.5,block,0.2274998432586408,0.23284788910232074,0.276311064757487,0.28911548147683724,0.0846893399749773,0.08833371161285739
A1_70_30,H1-1.00-REJ,1.5,0.25,block,0.6447447534244278,0.6490698484749378,0.6751243129338863,0.6845952820328214,-0.2362695363156,-0.23427517938788983
A1_70_30,H1-1.00-REJ,2.0,1.0,block,0.12231554788654445,0.12436384073548415,0.1422462984212177,0.14712530933386425,1.8107068103429838,1.8243945587850825
A1_70_30,H1-1.00-REJ,2.0,0.75,block,0.1547640841727536,0.15797074998083982,0.18558997833800067,0.19439987442111914,0.7691780817476745,0.7770464356839087
A1_70_30,H1-1.00-REJ,2.0,0.5,block,0.29378404089168936,0.30117140242106616,0.3543919741499338,0.36901121689211713,0.11108667571258396,0.11615287911019614
A1_70_30,H1-1.00-REJ,2.0,0.25,block,0.7500668434622493,0.7541177848060292,0.7784209811889873,0.7868965959321769,-0.3032877496732347,-0.3009384270370843
A1_70_30,H1-1.00-REJ,3.0,1.0,block,0.17980909761890873,0.1829062451344895,0.20802534463265246,0.21505537171180353,3.620381196837677,3.6548926851754793
A1_70_30,H1-1.00-REJ,3.0,0.75,block,0.22607864185590879,0.23048652472440306,0.2697712418286067,0.280367628808502,1.321201876668265,1.3370180444947426
A1_70_30,H1-1.00-REJ,3.0,0.5,block,0.4142776735837057,0.42430918891192426,0.489715318052207,0.5089549116205652,0.16074016409813094,0.16858664132804382
A1_70_30,H1-1.00-REJ,3.0,0.25,block,0.8777303270967134,0.8805859861069975,0.8979385731921479,0.9036742026119113,-0.4220398300137324,-0.41908177171155275
A2_100_0_A,H0,0.25,1.0,block,0.034739908156120304,0.03559071003092482,0.041124443672753926,0.04305286396367217,0.15866677559117656,0.1599490937960448
A2_100_0_A,H0,0.25,0.75,block,0.044323030002858206,0.04567895868506595,0.0548341145990953,0.057897732465800884,0.08583870178358308,0.08683831902660719
