entry_z,model,result,best_pnl,final_pnl,giveback,capture_ratio,conv_min,speed,prev_profitable_loser
2.5,TB-C-10%,TIMEOUT,-2.6050062489667507,-2.605355904876764,0.0003496559100133467,,65.0,early,False
2.5,TB-B,TP_HIT,23.786861438274453,23.787623932632012,-0.0007624943575592624,1.000032055273855,145.0,early,False
2.5,TB-C-2.5%,TP_HIT,23.92579744834855,23.925898307713314,-0.00010085936476400548,1.0000042155069222,145.0,early,False
2.5,TB-C-5%,TP_HIT,24.044370790153568,24.043798227128196,0.0005725630253721192,0.9999761872319152,145.0,early,False
2.5,TB-C-10%,TP_HIT,24.28151747376361,24.279598065957945,0.001919407805665685,0.9999209519006488,145.0,early,False
2.5,TB-B,TIMEOUT,-4.274593364751853,-20.60452545630723,16.329932091555378,,255.0,slow,False
2.5,TB-C-2.5%,TIMEOUT,-5.045845964665806,-22.345381296762994,17.29953533209719,,255.0,slow,False
2.5,TB-C-5%,TIMEOUT,-5.799473138807426,-24.066589929942232,18.267116791134807,,255.0,slow,False
2.5,TB-C-10%,TIMEOUT,-7.306727487090665,-27.509007196300683,20.202279709210018,,255.0,slow,False
2.5,TB-B,TP_HIT,25.260957127655058,18.020174281583873,7.240782846071184,0.7133607088013242,95.0,early,False
2.5,TB-C-2.5%,TP_HIT,24.433756774300267,18.5575062014091,5.876250572891166,0.7595027802244524,95.0,early,False
