Sunday_Date,Asian_Open,Asian_High,Asian_Low,Asian_Close,Asian_Range,Asian_Direction,Next_Monday_Direction,Correlation
2025-08-03,3421.0,3452.98,3352.01,3442.06,100.9699999999998,Bullish,Bullish,True
2025-08-10,4287.84,4330.48,4204.31,4217.49,126.16999999999916,Bearish,Bearish,True
2025-08-17,4428.28,4487.31,4391.08,4466.97,96.23000000000047,Bullish,Bearish,False
2025-08-24,4748.72,4815.04,4734.5,4780.73,80.53999999999996,Bullish,Bearish,False
2025-08-31,4340.27,4487.82,4336.18,4455.99,151.63999999999942,Bullish,Bullish,True
2025-09-07,4275.99,4301.0,4264.72,4291.34,36.279999999999745,Bullish,Bullish,True
2025-09-14,4653.69,4689.59,4629.96,4672.73,59.63000000000011,Bullish,Bearish,False
2025-09-21,4480.27,4498.18,4452.95,4474.19,45.23000000000047,Bearish,Bearish,True
2025-09-28,4003.69,4030.48,3990.59,4007.49,39.88999999999987,Bullish,Bearish,False
2025-10-05,4471.5,4586.46,4463.55,4566.57,122.90999999999985,Bullish,Bullish,True
2025-10-12,3692.22,3819.48,3639.05,3802.74,180.42999999999984,Bullish,Bullish,True
2025-10-19,3882.5,3917.97,3852.03,3893.5,65.9399999999996,Bullish,Bearish,False
2025-10-26,3942.2,3961.96,3914.39,3939.48,47.570000000000164,Bearish,Bearish,True
2025-11-09,3402.68,3416.15,3355.63,3401.99,60.51999999999998,Bearish,Bullish,False
2025-11-16,3155.08,3213.89,3128.82,3198.12,85.06999999999971,Bullish,Bullish,True
2025-11-23,2745.03,2849.3,2739.0,2806.92,110.30000000000018,Bullish,Bearish,False
2025-11-30,2991.33,3009.49,2972.5,2994.96,36.98999999999978,Bullish,Bullish,True
2025-12-07,3039.92,3055.27,3024.03,3045.15,31.23999999999978,Bullish,Bullish,True
2025-12-14,3108.64,3126.74,3099.5,3107.94,27.23999999999978,Bearish,Bullish,False
