seq_id,sample,axis,lattice,seq,n_effective,n_subperiods,lift,p_fdr,p_success,p_reentry,trivial_persistence,classification
P:BREADTH_FADE->BREADTH_EXPANSION->CONCENTRATION_REBUILD,PANEL,micro,path,BREADTH_FADE->BREADTH_EXPANSION->CONCENTRATION_REBUILD,17,5,1.662,0.072026,0.353,0.235,0,DESCRIPTIVE_SEQUENCE
P:BREADTH_FADE->BREADTH_EXPANSION->CONCENTRATION_RELEASE,PANEL,micro,path,BREADTH_FADE->BREADTH_EXPANSION->CONCENTRATION_RELEASE,22,5,2.134,0.001132,0.273,0.227,0,DESCRIPTIVE_SEQUENCE
P:BREADTH_FADE->BREADTH_EXPANSION->RANK_RECRUITMENT,PANEL,micro,path,BREADTH_FADE->BREADTH_EXPANSION->RANK_RECRUITMENT,16,5,1.987,0.01254,0.438,0.25,0,DESCRIPTIVE_SEQUENCE
P:BREADTH_FADE->CONCENTRATION_REBUILD->BREADTH_EXPANSION,PANEL,micro,path,BREADTH_FADE->CONCENTRATION_REBUILD->BREADTH_EXPANSION,20,5,1.948,0.0061,0.25,0.3,0,DESCRIPTIVE_SEQUENCE
P:BREADTH_FADE->CONCENTRATION_REBUILD->BREADTH_FADE,PANEL,micro,path,BREADTH_FADE->CONCENTRATION_REBUILD->BREADTH_FADE,22,5,2.3,0.000192,0.217,0.304,0,DESCRIPTIVE_SEQUENCE
P:BREADTH_FADE->CONCENTRATION_RELEASE->BREADTH_EXPANSION,PANEL,micro,path,BREADTH_FADE->CONCENTRATION_RELEASE->BREADTH_EXPANSION,17,5,1.63,0.082179,0.176,0.235,0,DESCRIPTIVE_SEQUENCE
P:BREADTH_FADE->CONCENTRATION_RELEASE->BREADTH_FADE,PANEL,micro,path,BREADTH_FADE->CONCENTRATION_RELEASE->BREADTH_FADE,25,5,2.462,2e-05,0.12,0.28,0,DESCRIPTIVE_SEQUENCE
P:BREADTH_FADE->CONCENTRATION_RELEASE->CONCENTRATION_REBUILD,PANEL,micro,path,BREADTH_FADE->CONCENTRATION_RELEASE->CONCENTRATION_REBUILD,3,3,0.609,0.555714,0.0,1.0,0,LOW_SAMPLE_CURIOSITY
P:BREADTH_FADE->CONCENTRATION_RELEASE->RANK_RECRUITMENT,PANEL,micro,path,BREADTH_FADE->CONCENTRATION_RELEASE->RANK_RECRUITMENT,3,1,0.774,0.747259,0.667,0.0,0,LOW_SAMPLE_CURIOSITY
P:BREADTH_FADE->RANK_RECRUITMENT->BREADTH_EXPANSION,PANEL,micro,path,BREADTH_FADE->RANK_RECRUITMENT->BREADTH_EXPANSION,10,5,1.237,0.702499,0.5,0.2,0,DESCRIPTIVE_SEQUENCE
P:BREADTH_FADE->RANK_RECRUITMENT->BREADTH_FADE,PANEL,micro,path,BREADTH_FADE->RANK_RECRUITMENT->BREADTH_FADE,17,5,2.286,0.001132,0.111,0.222,0,DESCRIPTIVE_SEQUENCE
P:BREADTH_FADE->RANK_RECRUITMENT->CONCENTRATION_RELEASE,PANEL,micro,path,BREADTH_FADE->RANK_RECRUITMENT->CONCENTRATION_RELEASE,3,1,0.78,0.747259,0.333,0.0,0,LOW_SAMPLE_CURIOSITY
P:CONCENTRATION_REBUILD->BREADTH_EXPANSION->BREADTH_FADE,PANEL,micro,path,CONCENTRATION_REBUILD->BREADTH_EXPANSION->BREADTH_FADE,15,5,1.461,0.25731,0.2,0.533,0,DESCRIPTIVE_SEQUENCE
P:CONCENTRATION_REBUILD->BREADTH_EXPANSION->CONCENTRATION_REBUILD,PANEL,micro,path,CONCENTRATION_REBUILD->BREADTH_EXPANSION->CONCENTRATION_REBUILD,26,5,5.225,0.0,0.192,0.231,0,DESCRIPTIVE_SEQUENCE
P:CONCENTRATION_REBUILD->BREADTH_EXPANSION->CONCENTRATION_RELEASE,PANEL,micro,path,CONCENTRATION_REBUILD->BREADTH_EXPANSION->CONCENTRATION_RELEASE,6,2,1.196,0.747259,0.333,0.167,0,LOW_SAMPLE_CURIOSITY
P:CONCENTRATION_REBUILD->BREADTH_EXPANSION->RANK_RECRUITMENT,PANEL,micro,path,CONCENTRATION_REBUILD->BREADTH_EXPANSION->RANK_RECRUITMENT,4,2,1.021,0.99798,0.75,0.25,0,LOW_SAMPLE_CURIOSITY
P:CONCENTRATION_REBUILD->BREADTH_FADE->BREADTH_EXPANSION,PANEL,micro,path,CONCENTRATION_REBUILD->BREADTH_FADE->BREADTH_EXPANSION,18,5,1.747,0.037476,0.222,0.278,0,DESCRIPTIVE_SEQUENCE
P:CONCENTRATION_REBUILD->BREADTH_FADE->CONCENTRATION_REBUILD,PANEL,micro,path,CONCENTRATION_REBUILD->BREADTH_FADE->CONCENTRATION_REBUILD,14,4,2.878,0.000182,0.214,0.5,0,DESCRIPTIVE_SEQUENCE
P:CONCENTRATION_REBUILD->BREADTH_FADE->CONCENTRATION_RELEASE,PANEL,micro,path,CONCENTRATION_REBUILD->BREADTH_FADE->CONCENTRATION_RELEASE,10,4,2.039,0.046656,0.1,0.6,0,DESCRIPTIVE_SEQUENCE
P:CONCENTRATION_REBUILD->BREADTH_FADE->ETH_WEAKENING,PANEL,micro,path,CONCENTRATION_REBUILD->BREADTH_FADE->ETH_WEAKENING,3,2,5.221,0.004059,0.0,0.667,0,LOW_SAMPLE_CURIOSITY
P:CONCENTRATION_REBUILD->BREADTH_FADE->RANK_RECRUITMENT,PANEL,micro,path,CONCENTRATION_REBUILD->BREADTH_FADE->RANK_RECRUITMENT,3,2,0.783,0.747259,0.0,0.333,0,LOW_SAMPLE_CURIOSITY
P:CONCENTRATION_REBUILD->CONCENTRATION_RELEASE->BREADTH_EXPANSION,PANEL,micro,path,CONCENTRATION_REBUILD->CONCENTRATION_RELEASE->BREADTH_EXPANSION,4,3,0.788,0.747259,0.25,0.0,0,LOW_SAMPLE_CURIOSITY
P:CONCENTRATION_REBUILD->CONCENTRATION_RELEASE->CONCENTRATION_REBUILD,PANEL,micro,path,CONCENTRATION_REBUILD->CONCENTRATION_RELEASE->CONCENTRATION_REBUILD,5,2,2.087,0.175831,0.2,0.0,0,LOW_SAMPLE_CURIOSITY
P:CONCENTRATION_RELEASE->BREADTH_EXPANSION->BREADTH_FADE,PANEL,micro,path,CONCENTRATION_RELEASE->BREADTH_EXPANSION->BREADTH_FADE,15,5,1.438,0.280361,0.067,0.267,0,DESCRIPTIVE_SEQUENCE
P:CONCENTRATION_RELEASE->BREADTH_EXPANSION->BTC_WEAKNESS,PANEL,micro,path,CONCENTRATION_RELEASE->BREADTH_EXPANSION->BTC_WEAKNESS,3,1,7.538,0.001334,0.0,0.667,0,LOW_SAMPLE_CURIOSITY
P:CONCENTRATION_RELEASE->BREADTH_EXPANSION->CONCENTRATION_REBUILD,PANEL,micro,path,CONCENTRATION_RELEASE->BREADTH_EXPANSION->CONCENTRATION_REBUILD,8,3,1.583,0.320601,0.375,0.375,0,LOW_SAMPLE_CURIOSITY
P:CONCENTRATION_RELEASE->BREADTH_EXPANSION->CONCENTRATION_RELEASE,PANEL,micro,path,CONCENTRATION_RELEASE->BREADTH_EXPANSION->CONCENTRATION_RELEASE,12,4,2.355,0.005946,0.083,0.167,0,DESCRIPTIVE_SEQUENCE
P:CONCENTRATION_RELEASE->BREADTH_EXPANSION->RANK_RECRUITMENT,PANEL,micro,path,CONCENTRATION_RELEASE->BREADTH_EXPANSION->RANK_RECRUITMENT,4,4,1.005,0.99798,0.75,0.0,0,LOW_SAMPLE_CURIOSITY
P:CONCENTRATION_RELEASE->BREADTH_FADE->BREADTH_EXPANSION,PANEL,micro,path,CONCENTRATION_RELEASE->BREADTH_FADE->BREADTH_EXPANSION,11,5,1.051,0.932285,0.091,0.273,0,DESCRIPTIVE_SEQUENCE
P:CONCENTRATION_RELEASE->BREADTH_FADE->CONCENTRATION_REBUILD,PANEL,micro,path,CONCENTRATION_RELEASE->BREADTH_FADE->CONCENTRATION_REBUILD,13,3,2.631,0.001132,0.231,0.308,0,DESCRIPTIVE_SEQUENCE
P:CONCENTRATION_RELEASE->BREADTH_FADE->CONCENTRATION_RELEASE,PANEL,micro,path,CONCENTRATION_RELEASE->BREADTH_FADE->CONCENTRATION_RELEASE,21,5,4.216,0.0,0.143,0.286,0,DESCRIPTIVE_SEQUENCE
P:CONCENTRATION_RELEASE->BREADTH_FADE->RANK_RECRUITMENT,PANEL,micro,path,CONCENTRATION_RELEASE->BREADTH_FADE->RANK_RECRUITMENT,6,2,1.542,0.431137,0.167,0.167,0,LOW_SAMPLE_CURIOSITY
P:CONCENTRATION_RELEASE->CONCENTRATION_REBUILD->BREADTH_EXPANSION,PANEL,micro,path,CONCENTRATION_RELEASE->CONCENTRATION_REBUILD->BREADTH_EXPANSION,4,3,0.788,0.747259,0.0,0.75,0,LOW_SAMPLE_CURIOSITY
P:CONCENTRATION_RELEASE->RANK_RECRUITMENT->BREADTH_EXPANSION,PANEL,micro,path,CONCENTRATION_RELEASE->RANK_RECRUITMENT->BREADTH_EXPANSION,4,1,1.001,0.99798,0.5,0.0,0,LOW_SAMPLE_CURIOSITY
P:CONCENTRATION_RELEASE->RANK_RECRUITMENT->BREADTH_FADE,PANEL,micro,path,CONCENTRATION_RELEASE->RANK_RECRUITMENT->BREADTH_FADE,5,3,1.285,0.747259,0.6,0.4,0,LOW_SAMPLE_CURIOSITY
P:ETH_IMPROVING->BREADTH_FADE->BREADTH_EXPANSION,PANEL,micro,path,ETH_IMPROVING->BREADTH_FADE->BREADTH_EXPANSION,3,1,5.282,0.003885,0.0,0.0,0,LOW_SAMPLE_CURIOSITY
P:RANK_RECRUITMENT->BREADTH_EXPANSION->BREADTH_FADE,PANEL,micro,path,RANK_RECRUITMENT->BREADTH_EXPANSION->BREADTH_FADE,12,5,1.484,0.292159,0.417,0.167,0,DESCRIPTIVE_SEQUENCE
P:RANK_RECRUITMENT->BREADTH_EXPANSION->CONCENTRATION_RELEASE,PANEL,micro,path,RANK_RECRUITMENT->BREADTH_EXPANSION->CONCENTRATION_RELEASE,5,2,1.266,0.747259,0.4,0.2,0,LOW_SAMPLE_CURIOSITY
P:RANK_RECRUITMENT->BREADTH_EXPANSION->RANK_RECRUITMENT,PANEL,micro,path,RANK_RECRUITMENT->BREADTH_EXPANSION->RANK_RECRUITMENT,23,5,7.779,0.0,0.25,0.125,0,DESCRIPTIVE_SEQUENCE
P:RANK_RECRUITMENT->BREADTH_FADE->BREADTH_EXPANSION,PANEL,micro,path,RANK_RECRUITMENT->BREADTH_FADE->BREADTH_EXPANSION,20,5,2.465,0.000177,0.2,0.3,0,DESCRIPTIVE_SEQUENCE
P:RANK_RECRUITMENT->BREADTH_FADE->CONCENTRATION_REBUILD,PANEL,micro,path,RANK_RECRUITMENT->BREADTH_FADE->CONCENTRATION_REBUILD,6,3,1.566,0.426863,0.167,0.0,0,LOW_SAMPLE_CURIOSITY
P:RANK_RECRUITMENT->BREADTH_FADE->CONCENTRATION_RELEASE,PANEL,micro,path,RANK_RECRUITMENT->BREADTH_FADE->CONCENTRATION_RELEASE,3,2,0.777,0.747259,0.0,0.667,0,LOW_SAMPLE_CURIOSITY
P:RANK_RECRUITMENT->BREADTH_FADE->RANK_RECRUITMENT,PANEL,micro,path,RANK_RECRUITMENT->BREADTH_FADE->RANK_RECRUITMENT,12,5,3.978,0.0,0.417,0.0,0,DESCRIPTIVE_SEQUENCE
P:RANK_RECRUITMENT->CONCENTRATION_RELEASE->BREADTH_FADE,PANEL,micro,path,RANK_RECRUITMENT->CONCENTRATION_RELEASE->BREADTH_FADE,6,2,1.542,0.431137,0.333,0.0,0,LOW_SAMPLE_CURIOSITY
P:RANK_RECRUITMENT->CONCENTRATION_RELEASE->RANK_RECRUITMENT,PANEL,micro,path,RANK_RECRUITMENT->CONCENTRATION_RELEASE->RANK_RECRUITMENT,3,2,2.02,0.35045,0.0,0.333,0,LOW_SAMPLE_CURIOSITY
