date,direction,entry_price,exit_price,pnl_pips,exit_reason,signal_type,tier,year
2025-09-15,1,1.17542,1.174455,-10.149999999998826,tp2_ar50,cascade_1,T1,2025
2025-09-15,1,1.17592,1.1753683999999998,-6.016000000003185,kill_switch_132,cascade_2,T1,2025
2025-09-16,1,1.17919,1.179925,6.8499999999993015,tp1_ar25,signal1,T2,2025
2025-09-16,1,1.17919,1.17954,3.0000000000007248,opposite_p90_exit,signal2,T2,2025
2025-09-16,1,1.18065,1.180114,-5.859999999998699,sl_body80,signal1,T2,2025
2025-09-16,1,1.18065,1.179645,-10.549999999999226,sl_body150,signal2,T2,2025
2025-09-16,1,1.18059,1.181385,7.449999999998791,tp1_ar25,cascade_1,T2,2025
2025-09-17,-1,1.18479,1.184245,4.950000000000177,tp1_ar25,signal1,T2,2025
2025-09-17,-1,1.18479,1.1837,10.400000000000354,tp2_ar50,signal2,T2,2025
2025-09-18,-1,1.17923,1.179702,-5.2200000000002795,sl_body80,signal1,T3,2025
2025-09-18,-1,1.17923,1.1783575,8.225000000000538,tp1_ar25,signal2,T3,2025
2025-09-18,1,1.18343,1.18326,-2.200000000000035,opposite_p90_exit,signal1,T3,2025
2025-09-18,1,1.18343,1.18326,-2.200000000000035,opposite_p90_exit,signal2,T3,2025
2025-09-18,1,1.18386,1.1847325,8.225000000000538,tp1_ar25,signal1,T3,2025
2025-09-18,1,1.18386,1.18394,0.30000000000080007,opposite_p90_exit,signal2,T3,2025
2025-09-19,-1,1.1766,1.177048,-4.9800000000000395,sl_body80,signal1,T2,2025
2025-09-19,-1,1.1766,1.1774399999999998,-8.899999999997299,sl_body150,signal2,T2,2025
2025-09-19,-1,1.17639,1.17583,5.10000000000116,tp1_ar25,signal1,T2,2025
2025-09-19,-1,1.17639,1.17527,10.700000000000099,tp2_ar50,signal2,T2,2025
2025-09-19,-1,1.17559,1.17627,-7.300000000000139,sl_body80,signal1,T2,2025
2025-09-19,-1,1.17559,1.1768649999999998,-13.249999999999151,sl_body150,signal2,T2,2025
2025-09-22,1,1.1754,1.17486,-5.899999999999849,opposite_p90_exit,signal1,T2,2025
2025-09-22,1,1.1754,1.17486,-5.899999999999849,opposite_p90_exit,signal2,T2,2025
2025-09-22,1,1.17532,1.1758724999999999,5.024999999999558,tp1_ar25,signal1,T2,2025
2025-09-22,1,1.17532,1.176425,10.550000000001337,tp2_ar50,signal2,T2,2025
2025-09-22,1,1.1776,1.1777372,0.8719999999994847,kill_switch_132,cascade_1,T2,2025
2025-09-23,-1,1.17886,1.17857,2.400000000001235,opposite_p90_exit,signal1,T2,2025
2025-09-23,-1,1.17886,1.17857,2.400000000001235,opposite_p90_exit,signal2,T2,2025
2025-09-23,-1,1.17886,1.179236,-4.259999999999319,sl_body80,signal1,T2,2025
2025-09-23,-1,1.17886,1.179565,-7.549999999999557,sl_body150,signal2,T2,2025
2025-09-24,-1,1.17881,1.179202,-4.4200000000017,sl_body80,signal1,T2,2025
2025-09-24,-1,1.17881,1.1782074999999999,5.525000000000613,tp1_ar25,signal2,T2,2025
2025-09-24,-1,1.17754,1.1776049999999998,-1.149999999997597,tp2_ar50,cascade_1,T2,2025
2025-09-24,-1,1.1759,1.1763188,-4.688000000000525,kill_switch_132,signal1,T2,2025
2025-09-24,-1,1.1759,1.1763188,-4.688000000000525,kill_switch_132,signal2,T2,2025
2025-09-25,-1,1.17343,1.174022,-6.419999999999259,sl_body80,signal1,T1,2025
2025-09-25,-1,1.17343,1.17454,-11.599999999999444,sl_body150,signal2,T1,2025
2025-09-26,1,1.16832,1.1690075,6.37499999999952,tp1_ar25,signal1,T2,2025
2025-09-26,1,1.16832,1.16893,5.599999999999994,hard_exit_12pm,signal2,T2,2025
2025-09-29,1,1.17384,1.1747625,8.724999999999373,tp1_ar25,signal1,T3,2025
2025-09-29,1,1.17384,1.1739,0.09999999999948983,hard_exit_12pm,signal2,T3,2025
2025-09-30,1,1.17388,1.1743875,4.5749999999988304,tp1_ar25,signal1,T2,2025
2025-09-30,1,1.17388,1.174895,9.649999999999881,tp2_ar50,signal2,T2,2025
2025-10-01,1,1.1763,1.175924,-4.259999999999319,sl_body80,signal1,T3,2025
2025-10-01,1,1.1763,1.175595,-7.549999999999557,sl_body150,signal2,T3,2025
2025-10-01,1,1.17645,1.1771474999999998,6.474999999997955,tp1_ar25,cascade_1,T3,2025
2025-10-01,1,1.1772,1.17653,-7.199999999999484,opposite_p90_exit,cascade_2,T3,2025
2025-10-01,1,1.17614,1.17574,-4.4999999999995595,sl_body80,signal1,T3,2025
2025-10-01,1,1.17614,1.1753900000000002,-7.999999999998064,sl_body150,signal2,T3,2025
2025-10-01,1,1.1764,1.1755432000000003,-9.067999999995468,sl_body150,cascade_1,T3,2025
2025-10-01,1,1.17658,1.1758,-8.30000000000003,hard_exit_12pm,signal1,T3,2025
2025-10-01,1,1.17658,1.1758,-8.30000000000003,hard_exit_12pm,signal2,T3,2025
2025-10-02,1,1.17482,1.175305,4.350000000000687,tp1_ar25,signal1,T1,2025
2025-10-02,1,1.17482,1.1757900000000001,9.200000000001374,tp2_ar50,signal2,T1,2025
2025-10-03,1,1.17423,1.17343,-8.50000000000134,opposite_p90_exit,signal1,T2,2025
2025-10-03,1,1.17423,1.17343,-8.50000000000134,opposite_p90_exit,signal2,T2,2025
2025-10-06,-1,1.17012,1.1695075,5.625000000001268,tp1_ar25,signal1,T2,2025
2025-10-06,-1,1.17012,1.16986,2.10000000000149,opposite_p90_exit,signal2,T2,2025
2025-10-06,-1,1.16699,1.1674059999999997,-4.659999999997499,kill_switch_132,signal1,T2,2025
2025-10-06,-1,1.16699,1.1674059999999997,-4.659999999997499,kill_switch_132,signal2,T2,2025
2025-10-06,-1,1.16677,1.1674059999999997,-6.859999999996369,kill_switch_132,signal1,T2,2025
2025-10-06,-1,1.16677,1.1674059999999997,-6.859999999996369,kill_switch_132,signal2,T2,2025
2025-10-06,-1,1.16695,1.1674059999999997,-5.059999999997899,kill_switch_132,signal1,T2,2025
2025-10-06,-1,1.16695,1.1674059999999997,-5.059999999997899,kill_switch_132,signal2,T2,2025
2025-10-06,-1,1.16602,1.1674059999999997,-14.359999999996653,kill_switch_132,cascade_1,T2,2025
2025-10-07,-1,1.16862,1.16811,4.6000000000001044,tp1_ar25,signal1,T2,2025
2025-10-07,-1,1.16862,1.1676,9.700000000000209,tp2_ar50,signal2,T2,2025
2025-10-09,-1,1.16047,1.16117,-7.5000000000014495,opposite_p90_exit,signal1,T2,2025
2025-10-09,-1,1.16047,1.16117,-7.5000000000014495,opposite_p90_exit,signal2,T2,2025
2025-10-09,-1,1.16155,1.16227,-7.699999999998319,sl_body80,signal1,T2,2025
2025-10-09,-1,1.16155,1.1608925,6.0749999999997755,tp1_ar25,signal2,T2,2025
2025-10-09,-1,1.16123,1.1602350000000001,9.449999999998571,tp2_ar50,cascade_1,T2,2025
2025-10-10,1,1.15743,1.157965,4.849999999999522,tp1_ar25,signal1,T2,2025
2025-10-10,1,1.15743,1.1584999999999999,10.199999999999044,tp2_ar50,signal2,T2,2025
2025-10-13,-1,1.15906,1.1581625,8.474999999999955,tp1_ar25,signal1,T3,2025
2025-10-13,-1,1.15906,1.157265,17.44999999999991,tp2_ar50,signal2,T3,2025
2025-10-13,-1,1.15818,1.157265,8.649999999999991,tp2_ar50,cascade_1,T3,2025
2025-10-14,-1,1.1544,1.15538,-10.299999999999809,opposite_p90_exit,signal1,T3,2025
2025-10-14,-1,1.1544,1.15538,-10.299999999999809,opposite_p90_exit,signal2,T3,2025
2025-10-15,1,1.16281,1.162242,-6.179999999999019,sl_body80,signal1,T2,2025
2025-10-15,1,1.16281,1.1634699999999998,6.099999999998829,tp1_ar25,signal2,T2,2025
2025-10-15,1,1.16303,1.1641299999999999,10.499999999998789,tp2_ar50,cascade_1,T2,2025
2025-10-15,1,1.16396,1.1641299999999999,1.1999999999978144,tp2_ar50,cascade_2,T2,2025
2025-10-15,1,1.16382,1.163324,-5.4600000000005195,sl_body80,signal1,T2,2025
2025-10-15,1,1.16382,1.16289,-9.800000000000974,sl_body150,signal2,T2,2025
2025-10-17,1,1.17243,1.171886,-5.940000000001,sl_body80,signal1,T3,2025
2025-10-17,1,1.17243,1.17148,-10.000000000000064,opposite_p90_exit,signal2,T3,2025
2025-10-21,-1,1.1628,1.1622150000000002,5.3499999999983565,tp1_ar25,signal1,T2,2025
2025-10-21,-1,1.1628,1.1616300000000002,11.199999999998933,tp2_ar50,signal2,T2,2025
2025-10-21,-1,1.16254,1.1616300000000002,8.599999999997443,tp2_ar50,cascade_1,T2,2025
2025-10-22,-1,1.15851,1.1591099999999999,-6.499999999999339,sl_body80,signal1,T1,2025
2025-10-22,-1,1.15851,1.159635,-11.750000000000426,sl_body150,signal2,T1,2025
2025-10-24,1,1.16263,1.161118,-15.619999999999578,sl_body80,signal1,T1,2025
2025-10-24,1,1.16263,1.1630275,3.475000000000506,tp1_ar25,signal2,T1,2025
