time,open,high,low,close,tick_volume,spread,real_volume
2023-05-23,76.04,77.59,75.49,77.49,23670,7,0
2023-05-24,77.63,78.47,76.92,78.16,25494,7,0
2023-05-25,78.23,78.35,75.07,75.96,27572,6,0
2023-05-26,76.01,77.27,75.62,77.14,25375,7,0
2023-05-29,77.32,77.77,76.11,77.04,11392,7,0
2023-05-30,76.95,77.51,73.26,73.71,28939,7,0
2023-05-31,73.8,73.88,71.45,72.02,31648,7,0
2023-06-01,72.16,75.18,71.99,74.23,28240,7,0
2023-06-02,74.19,76.41,74.12,76.21,25007,7,0
2023-06-05,77.68,78.58,76.2,76.35,30408,7,0
2023-06-06,76.43,76.64,74.62,75.83,26312,7,0
2023-06-07,76.12,77.52,75.41,76.68,24201,7,0
2023-06-08,76.65,77.58,73.52,75.43,32590,7,0
2023-06-09,75.39,76.47,74.66,74.92,27015,7,0
2023-06-12,74.67,74.74,71.53,72.02,29909,7,0
2023-06-13,72.13,74.57,71.89,74.02,27184,7,0
2023-06-14,74.0,75.38,72.98,73.49,29327,7,0
2023-06-15,73.33,75.91,72.85,75.52,25201,6,0
2023-06-16,75.61,76.67,75.09,76.27,25451,7,0
2023-06-19,76.28,76.86,75.3,76.03,14120,7,0
2023-06-20,76.03,77.04,74.48,75.43,29064,7,0
2023-06-21,75.54,77.2,75.47,76.85,24700,7,0
2023-06-22,76.97,77.16,73.74,74.28,24835,7,0
2023-06-23,74.19,74.45,72.25,74.34,28300,7,0
2023-06-26,74.51,74.94,73.56,74.39,31581,7,0
2023-06-27,74.43,75.04,72.3,72.81,33064,7,0
2023-06-28,72.74,74.38,71.82,73.72,30677,7,0
2023-06-29,73.89,75.1,73.54,74.34,28428,7,0
2023-06-30,74.32,75.77,74.23,75.14,24529,7,0
2023-07-03,75.12,76.52,74.5,74.81,26358,7,0
2023-07-04,74.82,76.19,74.66,76.11,12091,7,0
2023-07-05,75.88,76.83,75.22,76.42,22716,6,0
2023-07-06,76.52,76.94,74.91,76.36,27878,7,0
2023-07-07,76.35,78.35,75.88,78.11,20459,7,0
2023-07-10,78.24,78.57,77.24,77.64,22208,7,0
2023-07-11,77.61,79.29,77.47,79.12,18844,7,0
2023-07-12,79.1,80.31,78.98,79.97,22105,7,0
2023-07-13,79.95,81.48,79.68,81.36,20548,7,0
2023-07-14,81.35,81.41,79.35,79.53,22052,7,0
2023-07-17,79.22,80.4,78.12,78.28,26788,7,0
2023-07-18,78.4,79.84,78.09,79.62,19015,7,0
2023-07-19,79.66,80.74,79.04,79.35,21776,6,0
2023-07-20,79.21,80.11,78.56,79.48,21053,7,0
2023-07-21,79.62,81.04,79.5,80.56,19179,7,0
2023-07-24,80.62,82.88,80.23,82.53,23066,6,0
2023-07-25,82.54,83.44,81.91,82.82,20564,7,0
2023-07-26,82.85,83.39,82.18,82.53,22328,7,0
2023-07-27,82.66,84.03,82.54,83.3,24143,7,0
2023-07-28,83.13,84.41,82.77,84.36,22717,7,0
2023-07-31,84.3,85.48,83.8,85.18,18682,7,0
2023-08-01,85.12,85.65,84.19,85.59,19086,7,0
2023-08-02,85.67,85.83,82.62,83.27,26382,6,0
2023-08-03,83.29,85.26,82.22,85.03,26773,8,0
2023-08-04,85.11,86.46,84.88,85.9,21698,7,0
2023-08-07,86.03,86.5,84.85,85.62,20328,6,0
2023-08-08,85.55,86.09,83.13,85.79,24659,7,0
2023-08-09,85.69,87.32,85.65,87.04,23616,7,0
2023-08-10,87.03,87.71,85.88,86.01,25265,7,0
2023-08-11,86.06,86.94,85.52,86.2,24589,7,0
2023-08-14,86.19,86.27,85.1,85.68,25574,7,0
2023-08-15,85.61,86.18,83.9,84.51,25925,7,0
2023-08-16,84.55,84.96,82.8,82.97,24114,7,0
2023-08-17,82.84,84.52,82.71,83.41,20317,8,0
2023-08-18,83.46,84.69,82.98,84.4,23503,7,0
2023-08-21,84.38,85.48,83.98,84.14,22274,6,0
2023-08-22,84.06,84.36,83.48,83.55,18454,7,0
2023-08-23,83.55,83.93,81.67,82.51,21501,7,0
2023-08-24,82.61,83.22,81.61,82.66,22134,7,0
2023-08-25,82.71,84.38,82.19,84.15,27189,7,0
2023-08-28,84.1,84.65,83.51,83.7,20984,7,0
2023-08-29,83.76,84.99,83.22,84.87,20038,7,0
2023-08-30,84.95,85.58,84.49,85.15,24078,7,0
2023-08-31,85.13,86.75,84.96,86.44,20292,7,0
2023-09-01,86.63,88.68,86.58,88.61,19021,7,0
2023-09-04,88.62,88.98,88.06,88.73,12879,8,0
2023-09-05,88.57,90.88,87.82,89.55,28894,7,0
2023-09-06,89.84,90.81,89.0,90.32,24363,7,0
2023-09-07,90.42,90.57,89.17,89.45,25760,7,0
