date,AFTERNOON,ASIA,LONDON,NEXT_ASIA,OVERLAP,REST_NY,RV_19_TO_17,RV_19_TO_NEXT_03,RV_24H_19_TO_19,share_17,share_next03,share_24h,range_share_17,range_share_next03
2023-05-12,3.4909209116296784e-06,1.108178148700645e-06,3.0081324553233605e-06,2.5737702220318242e-08,3.1478947950369787e-06,3.219208684434806e-07,1.0755126310690663e-05,1.1102784881354462e-05,1.1077047179134144e-05,0.32458204681052244,0.3144184949032184,0.31514905147335054,0.3763523956723298,0.3486041517537576
2023-05-16,5.685146939548643e-06,1.3825039261977716e-06,2.9189761242067672e-06,9.922993011337358e-07,3.5833279283720767e-06,5.738845671033738e-07,1.3569954918325259e-05,1.5136138786562369e-05,1.4143839485428633e-05,0.4189510557526802,0.3756008728326295,0.40195216761372576,0.28022875816993753,0.23222748815165903
2023-05-17,3.6608072187649354e-06,9.922993011337358e-07,3.8628899813569455e-06,1.2181352738920472e-06,3.503159961663233e-06,2.3367261869075587e-07,1.201915646291885e-05,1.3470964355501654e-05,1.2252829081609607e-05,0.304581043608106,0.2717553934637078,0.29877240548955974,0.3214285714285609,0.2711983181499564
2023-05-18,3.540198238226811e-06,1.2181352738920472e-06,2.5005917104597297e-06,1.9044905972905003e-06,6.254082191114232e-06,3.948412826521794e-07,1.351300741369282e-05,1.58123392936355e-05,1.3907848696344999e-05,0.26198448131091123,0.22388833002411912,0.2545467897675059,0.29121863799283354,0.2285513361462727
2023-05-19,9.615693609389339e-06,1.9044905972905003e-06,4.0819598922129244e-06,1.7420113028924413e-07,3.3116551835069134e-06,5.58527252523275e-07,1.891379928239968e-05,1.96465276652122e-05,1.9472326534922954e-05,0.5083956674076194,0.489434762887678,0.4938132889330877,0.3416239941477691,0.2813253012048211
2023-05-24,5.4115468441755525e-06,1.213387926768233e-06,3.0913636804754774e-06,1.8367323923518944e-06,5.0917476503674045e-06,1.5339629594725273e-06,1.4808046101786667e-05,1.8178741453611088e-05,1.6342009061259193e-05,0.3654463800948473,0.297685450776934,0.33114330214173676,0.3247988295537656,0.2551724137931054
2023-05-25,4.0819043146390245e-06,1.8367323923518944e-06,4.550473881875403e-06,1.4016725167437221e-06,3.1562239003145248e-06,6.090264956943627e-07,1.3625334489180846e-05,1.563603350161893e-05,1.4234360984875209e-05,0.2995819528599645,0.261057531900043,0.2867641419924837,0.24851485148515526,0.1808357348703193
2023-05-26,6.8439240082514185e-06,1.4016725167437221e-06,3.6166199618657356e-06,7.44788699458977e-08,5.793547735350289e-06,3.569352169710171e-07,1.7655764222211165e-05,1.8087178309128078e-05,1.801269943918218e-05,0.3876311397295213,0.3783853894334357,0.37994993650780357,0.39311449159327566,0.35605511240028864
2023-05-30,4.2529453338372095e-06,3.0645889612906275e-06,5.633043257146917e-06,3.7147764627975416e-06,5.3276562316263554e-06,3.7798481657235626e-07,1.827823378390111e-05,2.237099506327101e-05,1.8656218600473466e-05,0.23267813422887004,0.1901097971640855,0.22796395265915656,0.19404069767441506,0.13692307692307543
2023-05-31,1.1729669248014592e-05,3.7147764627975416e-06,3.1847401769688945e-06,2.2202702870844145e-06,3.2499221796085624e-06,1.2199693775926805e-06,2.187910806738959e-05,2.5319347732066685e-05,2.309907744498227e-05,0.5361127707713756,0.4632690135677978,0.5077981696867545,0.38643880926130264,0.3121104185218159
2023-06-01,4.359517247674722e-06,2.2202702870844145e-06,4.388014877551685e-06,1.674012912179771e-06,3.972137803360152e-06,4.425677749792986e-07,1.4939940215670974e-05,1.7056520902830043e-05,1.5382507990650273e-05,0.2918028576246836,0.25559240788380144,0.2834074424225558,0.4371894960965135,0.37198067632849613
2023-06-02,6.919386310211774e-06,1.674012912179771e-06,2.659982662280375e-06,1.709823925374181e-08,4.299578814435164e-06,3.594416741030307e-07,1.5552960699107085e-05,1.5929500612463856e-05,1.5912402373210115e-05,0.4448919047682686,0.43437559522724645,0.43484234171083747,0.4612037708484436,0.42147117296223247
2023-06-06,3.7454927716816846e-06,1.113985409052156e-06,4.4743261401597725e-06,1.1520600125085261e-06,2.8851754225869688e-06,5.730810728660725e-07,1.2218979743480583e-05,1.3944120828855182e-05,1.2792060816346656e-05,0.306530729268136,0.2686073089621378,0.29279823051618176,0.2438192668371765,0.19710544452102552
