checkpoint,model,condition,n,quantile,prediction
03AM,B4_TIER_STATE_LOOPS,T1|BALANCED_ASIA|29,4,0.9,150.73999999999853
03AM,B4_TIER_STATE_LOOPS,T1|BALANCED_ASIA|30,3,0.1,18.200000000000216
03AM,B4_TIER_STATE_LOOPS,T1|BALANCED_ASIA|30,3,0.25,20.000000000000014
03AM,B4_TIER_STATE_LOOPS,T1|BALANCED_ASIA|30,3,0.5,22.999999999999684
03AM,B4_TIER_STATE_LOOPS,T1|BALANCED_ASIA|30,3,0.75,41.69999999999896
03AM,B4_TIER_STATE_LOOPS,T1|BALANCED_ASIA|30,3,0.9,52.919999999998524
03AM,B4_TIER_STATE_LOOPS,T1|BALANCED_ASIA|31,3,0.1,62.64000000000047
03AM,B4_TIER_STATE_LOOPS,T1|BALANCED_ASIA|31,3,0.25,63.90000000000006
03AM,B4_TIER_STATE_LOOPS,T1|BALANCED_ASIA|31,3,0.5,65.99999999999939
03AM,B4_TIER_STATE_LOOPS,T1|BALANCED_ASIA|31,3,0.75,78.05000000000061
03AM,B4_TIER_STATE_LOOPS,T1|BALANCED_ASIA|31,3,0.9,85.28000000000135
03AM,B4_TIER_STATE_LOOPS,T1|BALANCED_ASIA|32,1,0.1,38.599999999999746
03AM,B4_TIER_STATE_LOOPS,T1|BALANCED_ASIA|32,1,0.25,38.599999999999746
03AM,B4_TIER_STATE_LOOPS,T1|BALANCED_ASIA|32,1,0.5,38.599999999999746
03AM,B4_TIER_STATE_LOOPS,T1|BALANCED_ASIA|32,1,0.75,38.599999999999746
03AM,B4_TIER_STATE_LOOPS,T1|BALANCED_ASIA|32,1,0.9,38.599999999999746
03AM,B4_TIER_STATE_LOOPS,T1|BALANCED_ASIA|33,3,0.1,33.1800000000011
03AM,B4_TIER_STATE_LOOPS,T1|BALANCED_ASIA|33,3,0.25,48.00000000000027
03AM,B4_TIER_STATE_LOOPS,T1|BALANCED_ASIA|33,3,0.5,72.69999999999888
03AM,B4_TIER_STATE_LOOPS,T1|BALANCED_ASIA|33,3,0.75,83.19999999999993
03AM,B4_TIER_STATE_LOOPS,T1|BALANCED_ASIA|33,3,0.9,89.50000000000057
03AM,B4_TIER_STATE_LOOPS,T1|BALANCED_ASIA|37,1,0.1,34.60000000000241
03AM,B4_TIER_STATE_LOOPS,T1|BALANCED_ASIA|37,1,0.25,34.60000000000241
03AM,B4_TIER_STATE_LOOPS,T1|BALANCED_ASIA|37,1,0.5,34.60000000000241
03AM,B4_TIER_STATE_LOOPS,T1|BALANCED_ASIA|37,1,0.75,34.60000000000241
03AM,B4_TIER_STATE_LOOPS,T1|BALANCED_ASIA|37,1,0.9,34.60000000000241
03AM,B4_TIER_STATE_LOOPS,T1|BALANCED_ASIA|38,1,0.1,47.399999999999665
03AM,B4_TIER_STATE_LOOPS,T1|BALANCED_ASIA|38,1,0.25,47.399999999999665
03AM,B4_TIER_STATE_LOOPS,T1|BALANCED_ASIA|38,1,0.5,47.399999999999665
03AM,B4_TIER_STATE_LOOPS,T1|BALANCED_ASIA|38,1,0.75,47.399999999999665
03AM,B4_TIER_STATE_LOOPS,T1|BALANCED_ASIA|38,1,0.9,47.399999999999665
03AM,B4_TIER_STATE_LOOPS,T1|BALANCED_ASIA|39,1,0.1,61.099999999998374
03AM,B4_TIER_STATE_LOOPS,T1|BALANCED_ASIA|39,1,0.25,61.099999999998374
03AM,B4_TIER_STATE_LOOPS,T1|BALANCED_ASIA|39,1,0.5,61.099999999998374
03AM,B4_TIER_STATE_LOOPS,T1|BALANCED_ASIA|39,1,0.75,61.099999999998374
03AM,B4_TIER_STATE_LOOPS,T1|BALANCED_ASIA|39,1,0.9,61.099999999998374
03AM,B4_TIER_STATE_LOOPS,T1|BALANCED_ASIA|42,1,0.1,30.099999999999568
03AM,B4_TIER_STATE_LOOPS,T1|BALANCED_ASIA|42,1,0.25,30.099999999999568
03AM,B4_TIER_STATE_LOOPS,T1|BALANCED_ASIA|42,1,0.5,30.099999999999568
03AM,B4_TIER_STATE_LOOPS,T1|BALANCED_ASIA|42,1,0.75,30.099999999999568
03AM,B4_TIER_STATE_LOOPS,T1|BALANCED_ASIA|42,1,0.9,30.099999999999568
03AM,B4_TIER_STATE_LOOPS,T1|ONE_SIDED_DOWN|15,1,0.1,60.2999999999998
03AM,B4_TIER_STATE_LOOPS,T1|ONE_SIDED_DOWN|15,1,0.25,60.2999999999998
03AM,B4_TIER_STATE_LOOPS,T1|ONE_SIDED_DOWN|15,1,0.5,60.2999999999998
03AM,B4_TIER_STATE_LOOPS,T1|ONE_SIDED_DOWN|15,1,0.75,60.2999999999998
03AM,B4_TIER_STATE_LOOPS,T1|ONE_SIDED_DOWN|15,1,0.9,60.2999999999998
03AM,B4_TIER_STATE_LOOPS,T1|ONE_SIDED_DOWN|16,1,0.1,41.999999999999815
03AM,B4_TIER_STATE_LOOPS,T1|ONE_SIDED_DOWN|16,1,0.25,41.999999999999815
03AM,B4_TIER_STATE_LOOPS,T1|ONE_SIDED_DOWN|16,1,0.5,41.999999999999815
03AM,B4_TIER_STATE_LOOPS,T1|ONE_SIDED_DOWN|16,1,0.75,41.999999999999815
03AM,B4_TIER_STATE_LOOPS,T1|ONE_SIDED_DOWN|16,1,0.9,41.999999999999815
03AM,B4_TIER_STATE_LOOPS,T1|ONE_SIDED_DOWN|17,1,0.1,26.400000000001977
03AM,B4_TIER_STATE_LOOPS,T1|ONE_SIDED_DOWN|17,1,0.25,26.400000000001977
03AM,B4_TIER_STATE_LOOPS,T1|ONE_SIDED_DOWN|17,1,0.5,26.400000000001977
03AM,B4_TIER_STATE_LOOPS,T1|ONE_SIDED_DOWN|17,1,0.75,26.400000000001977
03AM,B4_TIER_STATE_LOOPS,T1|ONE_SIDED_DOWN|17,1,0.9,26.400000000001977
03AM,B4_TIER_STATE_LOOPS,T1|ONE_SIDED_DOWN|19,1,0.1,12.799999999999478
03AM,B4_TIER_STATE_LOOPS,T1|ONE_SIDED_DOWN|19,1,0.25,12.799999999999478
03AM,B4_TIER_STATE_LOOPS,T1|ONE_SIDED_DOWN|19,1,0.5,12.799999999999478
03AM,B4_TIER_STATE_LOOPS,T1|ONE_SIDED_DOWN|19,1,0.75,12.799999999999478
03AM,B4_TIER_STATE_LOOPS,T1|ONE_SIDED_DOWN|19,1,0.9,12.799999999999478
03AM,B4_TIER_STATE_LOOPS,T1|ONE_SIDED_DOWN|20,3,0.1,26.559999999999913
03AM,B4_TIER_STATE_LOOPS,T1|ONE_SIDED_DOWN|20,3,0.25,26.800000000000153
03AM,B4_TIER_STATE_LOOPS,T1|ONE_SIDED_DOWN|20,3,0.5,27.200000000000557
03AM,B4_TIER_STATE_LOOPS,T1|ONE_SIDED_DOWN|20,3,0.75,39.25000000000067
03AM,B4_TIER_STATE_LOOPS,T1|ONE_SIDED_DOWN|20,3,0.9,46.48000000000074
03AM,B4_TIER_STATE_LOOPS,T1|ONE_SIDED_DOWN|21,3,0.1,30.880000000000237
03AM,B4_TIER_STATE_LOOPS,T1|ONE_SIDED_DOWN|21,3,0.25,35.950000000000145
03AM,B4_TIER_STATE_LOOPS,T1|ONE_SIDED_DOWN|21,3,0.5,44.39999999999999
03AM,B4_TIER_STATE_LOOPS,T1|ONE_SIDED_DOWN|21,3,0.75,86.54999999999967
03AM,B4_TIER_STATE_LOOPS,T1|ONE_SIDED_DOWN|21,3,0.9,111.83999999999949
03AM,B4_TIER_STATE_LOOPS,T1|ONE_SIDED_DOWN|22,2,0.1,20.689999999999205
03AM,B4_TIER_STATE_LOOPS,T1|ONE_SIDED_DOWN|22,2,0.25,21.424999999999358
03AM,B4_TIER_STATE_LOOPS,T1|ONE_SIDED_DOWN|22,2,0.5,22.64999999999961
03AM,B4_TIER_STATE_LOOPS,T1|ONE_SIDED_DOWN|22,2,0.75,23.874999999999865
03AM,B4_TIER_STATE_LOOPS,T1|ONE_SIDED_DOWN|22,2,0.9,24.610000000000017
03AM,B4_TIER_STATE_LOOPS,T1|ONE_SIDED_DOWN|23,3,0.1,32.71999999999986
03AM,B4_TIER_STATE_LOOPS,T1|ONE_SIDED_DOWN|23,3,0.25,33.49999999999964
03AM,B4_TIER_STATE_LOOPS,T1|ONE_SIDED_DOWN|23,3,0.5,34.79999999999927
03AM,B4_TIER_STATE_LOOPS,T1|ONE_SIDED_DOWN|23,3,0.75,43.34999999999978
03AM,B4_TIER_STATE_LOOPS,T1|ONE_SIDED_DOWN|23,3,0.9,48.48000000000008
