variant,boundary,group,stage,bar,at_risk,events,censored,hazard,survival
A1_CLOSE,2.0,failed,confirmation,12,8,0,0,0.0,0.07142857142857142
A1_CLOSE,2.0,failed,confirmation,24,0,0,0,,0.0
A2_2OF3,2.0,accepted,confirmation,1,3,1,0,0.3333333333333333,0.6666666666666667
A2_2OF3,2.0,accepted,confirmation,2,2,0,0,0.0,0.6666666666666667
A2_2OF3,2.0,accepted,confirmation,3,2,1,0,0.5,0.33333333333333337
A2_2OF3,2.0,accepted,confirmation,6,1,0,0,0.0,0.33333333333333337
A2_2OF3,2.0,accepted,confirmation,12,0,0,0,,0.0
A2_2OF3,2.0,accepted,confirmation,24,0,0,0,,0.0
A2_2OF3,2.0,failed,confirmation,1,93,91,0,0.978494623655914,0.021505376344086002
A2_2OF3,2.0,failed,confirmation,2,2,0,0,0.0,0.021505376344086002
A2_2OF3,2.0,failed,confirmation,3,2,0,0,0.0,0.021505376344086002
A2_2OF3,2.0,failed,confirmation,6,1,1,0,1.0,0.0
A2_2OF3,2.0,failed,confirmation,12,0,0,0,,0.0
A2_2OF3,2.0,failed,confirmation,24,0,0,0,,0.0
A2_3OF4,2.0,failed,confirmation,1,97,95,0,0.979381443298969,0.020618556701030966
A2_3OF4,2.0,failed,confirmation,2,2,0,0,0.0,0.020618556701030966
A2_3OF4,2.0,failed,confirmation,3,2,0,0,0.0,0.020618556701030966
A2_3OF4,2.0,failed,confirmation,6,1,1,0,1.0,0.0
A2_3OF4,2.0,failed,confirmation,12,0,0,0,,0.0
A2_3OF4,2.0,failed,confirmation,24,0,0,0,,0.0
A2_3OF5,2.0,failed,confirmation,1,97,95,0,0.979381443298969,0.020618556701030966
A2_3OF5,2.0,failed,confirmation,2,2,0,0,0.0,0.020618556701030966
A2_3OF5,2.0,failed,confirmation,3,2,0,0,0.0,0.020618556701030966
A2_3OF5,2.0,failed,confirmation,6,1,1,0,1.0,0.0
A2_3OF5,2.0,failed,confirmation,12,0,0,0,,0.0
A2_3OF5,2.0,failed,confirmation,24,0,0,0,,0.0
A3_PERS_2,2.0,accepted,confirmation,1,2,0,0,0.0,1.0
A3_PERS_2,2.0,accepted,confirmation,2,2,0,0,0.0,1.0
A3_PERS_2,2.0,accepted,confirmation,3,2,1,0,0.5,0.5
A3_PERS_2,2.0,accepted,confirmation,6,1,0,0,0.0,0.5
A3_PERS_2,2.0,accepted,confirmation,12,0,0,0,,0.0
A3_PERS_2,2.0,accepted,confirmation,24,0,0,0,,0.0
A3_PERS_2,2.0,failed,confirmation,1,121,116,0,0.9586776859504132,0.04132231404958675
A3_PERS_2,2.0,failed,confirmation,2,5,3,0,0.6,0.0165289256198347
A3_PERS_2,2.0,failed,confirmation,3,2,0,0,0.0,0.0165289256198347
A3_PERS_2,2.0,failed,confirmation,6,2,2,0,1.0,0.0
A3_PERS_2,2.0,failed,confirmation,12,0,0,0,,0.0
A3_PERS_2,2.0,failed,confirmation,24,0,0,0,,0.0
A3_PERS_3,2.0,failed,confirmation,1,123,118,0,0.959349593495935,0.04065040650406504
A3_PERS_3,2.0,failed,confirmation,2,5,3,0,0.6,0.016260162601626018
A3_PERS_3,2.0,failed,confirmation,3,2,0,0,0.0,0.016260162601626018
A3_PERS_3,2.0,failed,confirmation,6,2,2,0,1.0,0.0
A3_PERS_3,2.0,failed,confirmation,12,0,0,0,,0.0
A3_PERS_3,2.0,failed,confirmation,24,0,0,0,,0.0
A3_PERS_4,2.0,failed,confirmation,1,123,118,0,0.959349593495935,0.04065040650406504
A3_PERS_4,2.0,failed,confirmation,2,5,3,0,0.6,0.016260162601626018
A3_PERS_4,2.0,failed,confirmation,3,2,0,0,0.0,0.016260162601626018
A3_PERS_4,2.0,failed,confirmation,6,2,2,0,1.0,0.0
A3_PERS_4,2.0,failed,confirmation,12,0,0,0,,0.0
A3_PERS_4,2.0,failed,confirmation,24,0,0,0,,0.0
A4_RETEST_HOLD,2.0,accepted,confirmation,1,1,0,0,0.0,1.0
A4_RETEST_HOLD,2.0,accepted,confirmation,2,1,0,0,0.0,1.0
A4_RETEST_HOLD,2.0,accepted,confirmation,3,1,0,0,0.0,1.0
A4_RETEST_HOLD,2.0,accepted,confirmation,6,1,0,0,0.0,1.0
A4_RETEST_HOLD,2.0,accepted,confirmation,12,1,0,0,0.0,1.0
A4_RETEST_HOLD,2.0,accepted,confirmation,24,0,0,0,,0.0
A4_RETEST_HOLD,2.0,failed,confirmation,1,166,158,0,0.9518072289156626,0.048192771084337394
A4_RETEST_HOLD,2.0,failed,confirmation,2,8,2,0,0.25,0.036144578313253045
A4_RETEST_HOLD,2.0,failed,confirmation,3,6,1,0,0.16666666666666666,0.03012048192771087
