origin_currency,direction,severity,session,horizon_h,destination,n_events,count,prob,ci_low,ci_high,se,group_by,regime_dispersion,regime_vol,network_state
EUR,ACCUMULATION,LOW,Asia,1,GBP,106,106,0.22641509433962265,0.16014150943396227,0.3113207547169811,0.03930543905012141,severity_session,,,
EUR,ACCUMULATION,LOW,Asia,1,USD,106,106,0.24528301886792453,0.16037735849056603,0.330188679245283,0.0424014416701503,severity_session,,,
EUR,ACCUMULATION,LOW,Asia,1,CHF,106,106,0.10377358490566038,0.04716981132075472,0.16037735849056603,0.02859175692776849,severity_session,,,
EUR,ACCUMULATION,LOW,Asia,1,JPY,106,106,0.19811320754716982,0.12264150943396226,0.28325471698113214,0.042148705750698644,severity_session,,,
EUR,ACCUMULATION,LOW,London,1,EUR,129,129,0.11627906976744186,0.06976744186046512,0.17054263565891473,0.02661264529702793,severity_session,,,
EUR,ACCUMULATION,LOW,London,1,GBP,129,129,0.20930232558139536,0.15503875968992248,0.27906976744186046,0.03595148198492615,severity_session,,,
EUR,ACCUMULATION,LOW,London,1,USD,129,129,0.26356589147286824,0.20135658914728682,0.34108527131782945,0.03598204298343521,severity_session,,,
EUR,ACCUMULATION,LOW,London,1,CHF,129,129,0.24806201550387597,0.17054263565891473,0.32558139534883723,0.038096285952625444,severity_session,,,
EUR,ACCUMULATION,LOW,London,1,JPY,129,129,0.16279069767441862,0.10852713178294573,0.21724806201550392,0.029926515061645374,severity_session,,,
EUR,ACCUMULATION,LOW,NY_Late,1,EUR,60,60,0.06666666666666667,0.0,0.13333333333333333,0.032553267775771326,severity_session,,,
EUR,ACCUMULATION,LOW,NY_Late,1,GBP,60,60,0.15,0.06666666666666667,0.23333333333333334,0.04139989979407246,severity_session,,,
EUR,ACCUMULATION,LOW,NY_Late,1,USD,60,60,0.38333333333333336,0.25,0.5004166666666667,0.06489242913481749,severity_session,,,
EUR,ACCUMULATION,LOW,NY_Late,1,CHF,60,60,0.21666666666666667,0.13333333333333333,0.3004166666666668,0.04928608131388227,severity_session,,,
EUR,ACCUMULATION,LOW,NY_Late,1,JPY,60,60,0.18333333333333332,0.08333333333333333,0.3,0.054952837502038096,severity_session,,,
EUR,ACCUMULATION,LOW,NY_Overlap,1,EUR,80,80,0.0625,0.025,0.12562500000000015,0.028006905891908,severity_session,,,
EUR,ACCUMULATION,LOW,NY_Overlap,1,GBP,80,80,0.175,0.0875,0.2625,0.0437972644908837,severity_session,,,
EUR,ACCUMULATION,LOW,NY_Overlap,1,USD,80,80,0.3125,0.2125,0.4125,0.05318543340646164,severity_session,,,
EUR,ACCUMULATION,LOW,NY_Overlap,1,CHF,80,80,0.175,0.1,0.2625,0.04001094189225652,severity_session,,,
EUR,ACCUMULATION,LOW,NY_Overlap,1,JPY,80,80,0.275,0.1746875,0.375,0.05238891094449043,severity_session,,,
EUR,ACCUMULATION,MEDIUM,Asia,1,EUR,25,25,0.24,0.08,0.44,0.0906578969056573,severity_session,,,
EUR,ACCUMULATION,MEDIUM,Asia,1,GBP,25,25,0.16,0.04,0.28,0.07022032805649521,severity_session,,,
EUR,ACCUMULATION,MEDIUM,Asia,1,USD,25,25,0.16,0.04,0.32,0.07713044488163018,severity_session,,,
EUR,ACCUMULATION,MEDIUM,Asia,1,CHF,25,25,0.16,0.04,0.32,0.07005410687066987,severity_session,,,
EUR,ACCUMULATION,MEDIUM,Asia,1,JPY,25,25,0.28,0.12,0.48,0.09350871294689561,severity_session,,,
EUR,ACCUMULATION,MEDIUM,London,1,EUR,21,21,0.2857142857142857,0.09523809523809523,0.47619047619047616,0.10278652756662815,severity_session,,,
EUR,ACCUMULATION,MEDIUM,London,1,GBP,21,21,0.38095238095238093,0.19047619047619047,0.5714285714285714,0.09845141488337036,severity_session,,,
EUR,ACCUMULATION,MEDIUM,London,1,USD,21,21,0.047619047619047616,0.0,0.1440476190476193,0.04937882582346597,severity_session,,,
EUR,ACCUMULATION,MEDIUM,London,1,CHF,21,21,0.14285714285714285,0.0,0.2857142857142857,0.06982526990838898,severity_session,,,
EUR,ACCUMULATION,MEDIUM,London,1,JPY,21,21,0.14285714285714285,0.0,0.2857142857142857,0.06939310879585965,severity_session,,,
EUR,ACCUMULATION,MEDIUM,NY_Late,1,EUR,10,10,0.2,0.0,0.5,0.1331404593260356,severity_session,,,
EUR,ACCUMULATION,MEDIUM,NY_Late,1,GBP,10,10,0.5,0.19750000000000006,0.8,0.17086169434067083,severity_session,,,
EUR,ACCUMULATION,MEDIUM,NY_Late,1,USD,10,10,0.0,0.0,0.0,0.0,severity_session,,,
EUR,ACCUMULATION,MEDIUM,NY_Late,1,CHF,10,10,0.0,0.0,0.0,0.0,severity_session,,,
EUR,ACCUMULATION,MEDIUM,NY_Late,1,JPY,10,10,0.2,0.0,0.4,0.12096658453004418,severity_session,,,
EUR,ACCUMULATION,MEDIUM,NY_Overlap,1,EUR,9,9,0.1111111111111111,0.0,0.3333333333333333,0.10584828198971255,severity_session,,,
EUR,ACCUMULATION,MEDIUM,NY_Overlap,1,GBP,9,9,0.4444444444444444,0.1111111111111111,0.7777777777777778,0.1655096635399487,severity_session,,,
EUR,ACCUMULATION,MEDIUM,NY_Overlap,1,USD,9,9,0.3333333333333333,0.0,0.6666666666666666,0.17077206869935307,severity_session,,,
EUR,ACCUMULATION,MEDIUM,NY_Overlap,1,CHF,9,9,0.1111111111111111,0.0,0.33611111111111175,0.1074147876065631,severity_session,,,
EUR,ACCUMULATION,MEDIUM,NY_Overlap,1,JPY,9,9,0.0,0.0,0.0,0.0,severity_session,,,
EUR,LIQUIDATION,LOW,Asia,1,EUR,100,100,0.29,0.2,0.38,0.04693840184581486,severity_session,,,
EUR,LIQUIDATION,LOW,Asia,1,GBP,100,100,0.12,0.059750000000000004,0.18025000000000005,0.031058220575664555,severity_session,,,
EUR,LIQUIDATION,LOW,Asia,1,USD,100,100,0.24,0.17,0.3302500000000001,0.044707424090907104,severity_session,,,
EUR,LIQUIDATION,LOW,Asia,1,CHF,100,100,0.11,0.059750000000000004,0.19,0.03215086922557148,severity_session,,,
EUR,LIQUIDATION,LOW,Asia,1,JPY,100,100,0.24,0.16,0.32,0.042759083198542734,severity_session,,,
EUR,LIQUIDATION,LOW,London,1,EUR,140,140,0.18571428571428572,0.12857142857142856,0.2573214285714286,0.03289590085866704,severity_session,,,
EUR,LIQUIDATION,LOW,London,1,GBP,140,140,0.24285714285714285,0.15714285714285714,0.30732142857142863,0.03839214134794097,severity_session,,,
