date,time,open,high,low,close,tickvol,spread
2021.10.25,01:00:00,4072.19,4086.84,4059.31,4080.67,6507.0,41.0
2021.10.25,02:00:00,4081.41,4131.81,4065.37,4130.78,8065.0,41.0
2021.10.25,03:00:00,4130.77,4143.13,4112.84,4117.34,4176.0,41.0
2021.10.25,04:00:00,4117.34,4133.3,4105.73,4133.3,4418.0,41.0
2021.10.25,05:00:00,4133.28,4141.78,4124.07,4134.07,3516.0,41.0
2021.10.25,06:00:00,4134.38,4153.16,4133.34,4147.26,2712.0,41.0
2021.10.25,07:00:00,4147.26,4148.57,4116.97,4124.17,1895.0,41.0
2021.10.25,08:00:00,4124.17,4132.17,4113.29,4123.37,1463.0,41.0
2021.10.25,09:00:00,4123.37,4176.35,4113.97,4150.4,3915.0,41.0
2021.10.25,10:00:00,4150.4,4161.29,4119.64,4122.57,3316.0,41.0
2021.10.25,11:00:00,4122.57,4143.8,4120.53,4134.49,4177.0,41.0
2021.10.25,12:00:00,4134.49,4145.7,4105.69,4128.25,4057.0,41.0
2021.10.25,13:00:00,4128.25,4147.82,4114.8,4125.37,4657.0,41.0
2021.10.25,14:00:00,4125.37,4136.05,4114.07,4120.24,2827.0,41.0
2021.10.25,15:00:00,4120.24,4159.91,4106.97,4157.74,5455.0,41.0
2021.10.25,16:00:00,4157.74,4170.5,4133.42,4151.93,5741.0,41.0
2021.10.25,17:00:00,4151.93,4213.89,4132.62,4211.02,6052.0,41.0
2021.10.25,18:00:00,4211.03,4233.3,4195.45,4230.31,5782.0,42.0
2021.10.25,19:00:00,4230.31,4235.93,4179.17,4184.29,4510.0,41.0
2021.10.25,20:00:00,4183.94,4212.57,4170.37,4209.54,3706.0,41.0
2021.10.25,21:00:00,4209.83,4210.49,4175.59,4182.86,3290.0,41.0
2021.10.25,22:00:00,4182.86,4200.87,4174.89,4179.65,2404.0,41.0
2021.10.25,23:00:00,4179.65,4205.82,4178.66,4189.51,2247.0,41.0
2021.10.26,00:00:00,4177.44,4292.74,4127.84,4218.82,61000.0,0
2021.10.26,01:00:00,4218.82,4223.71,4205.22,4219.28,2434.0,42.0
