n,coverage,win_rate,expectancy_bps,median_bps,profit_factor,mfe_bps,mae_bps,time_to_mfe_h,time_to_mae_h,failure_rate,family,sequence_code,eligible,status,expect_ci_low,expect_ci_high,expect_se
1,0.004761904761904762,0.0,-47.108431895276155,-47.108431895276155,0.0,0.0,-45.94169651629881,1.0,6.0,1.0,A,PA-TA-PA-PA,False,exploratory,,,
1,0.004761904761904762,1.0,32.785924368394,32.785924368394,,35.538037241871336,-3.5260848554277264,5.0,2.0,0.0,A,PA-TA-PO,False,exploratory,,,
1,0.004761904761904762,0.0,-5.093638941758799,-5.093638941758799,0.0,0.0,-11.98883202029862,1.0,2.0,1.0,A,PO-MO-PA-MA,False,exploratory,,,
1,0.004761904761904762,1.0,15.85530779964716,15.85530779964716,,28.684602334944547,0.0,3.0,1.0,0.0,A,PO-MO-TO-PO,False,exploratory,,,
1,0.004761904761904762,1.0,2.495567056347983,2.495567056347983,,18.6778105102513,0.0,5.0,1.0,0.0,A,PO-MO-MA-PA,False,exploratory,,,
1,0.004761904761904762,1.0,17.939146475011313,17.939146475011313,,19.383186705015945,-11.273915257505896,6.0,3.0,0.0,A,PO-MO-MA-MO,False,exploratory,,,
1,0.004761904761904762,1.0,17.9937549563825,17.9937549563825,,28.73727483503757,0.0,3.0,1.0,0.0,A,PO-PA-PA-PA,False,exploratory,,,
1,0.004761904761904762,0.0,-1.5329957383370842,-1.5329957383370842,0.0,3.2234139643461286,-15.257144090370664,3.0,4.0,1.0,A,PO-PA-MA-MO,False,exploratory,,,
1,0.004761904761904762,1.0,51.40219614002002,51.40219614002002,,53.03981844727029,0.0,4.0,1.0,0.0,A,PO-PA-PO-PA,False,exploratory,,,
1,0.004761904761904762,1.0,14.80809385243784,14.80809385243784,,25.544436090283554,0.0,3.0,1.0,0.0,A,PO-PA-PA-PO,False,exploratory,,,
1,0.004761904761904762,1.0,35.712783528753874,35.712783528753874,,44.111394400462444,0.0,4.0,1.0,0.0,A,PO-PA-TA-PA,False,exploratory,,,
1,0.004761904761904762,1.0,30.813083891516683,30.813083891516683,,34.19543892027329,0.0,3.0,1.0,0.0,A,PO-PO,False,exploratory,,,
1,0.004761904761904762,1.0,39.80997887514169,39.80997887514169,,41.3106352078779,0.0,6.0,1.0,0.0,A,PO-PO-PA-PO,False,exploratory,,,
1,0.004761904761904762,0.0,-43.808976223827514,-43.808976223827514,0.0,9.331334532987011,-41.47861812508913,2.0,6.0,1.0,A,PO-PO-PO,False,exploratory,,,
1,0.004016064257028112,1.0,38.90035992266615,38.90035992266615,,39.56199915612196,-0.4729645215715785,2.0,6.0,0.0,B,PO-PA-PA-PA,False,exploratory,,,
1,0.004016064257028112,1.0,0.15242870700893932,0.15242870700893932,,12.206101315288718,-6.349755139907417,3.0,5.0,0.0,B,PO-PA-PA-MA,False,exploratory,,,
1,0.004016064257028112,1.0,33.16988260082041,33.16988260082041,,34.345147699373264,-0.5595977310815782,2.0,6.0,0.0,B,PO-MO-PA-MA,False,exploratory,,,
